step,optim/LR (group 0),optim/total grad norm,system/GPU active mem (%),system/GPU active mem (GiB),system/GPU reserved mem (%),system/GPU reserved mem (GiB),throughput/device/data loading (s),train/InfoNCE,train/ModalityPatchDisc,train/ema_decay
1,1.2500000146076218e-08,6.318488121032715,13.923131942749023,11.034319877624512,14.542765617370605,11.525390625,10.453121185302734,0.2423858642578125,7.728515625,0.9900009036064148
2,2.5000000292152436e-08,6.449885368347168,46.43047332763672,36.79694366455078,48.58432388305664,38.50390625,10.747801780700684,0.2413787841796875,8.152099609375,0.9900009632110596
3,3.750000132640707e-08,6.576471328735352,52.73241424560547,41.79133987426758,78.13809967041016,61.92578125,11.15253734588623,0.2263031005859375,8.9296875,0.9900014400482178
4,5.000000058430487e-08,6.185732364654541,40.15095520019531,31.82032012939453,78.13809967041016,61.92578125,9.37756061553955,0.2211456298828125,8.14990234375,0.9900016188621521
5,6.249999984220267e-08,6.087987899780273,49.98847961425781,39.61672592163086,85.4526138305664,67.72265625,11.005316734313965,0.2398681640625,7.75048828125,0.9900016784667969
6,7.500000265281415e-08,6.6212615966796875,44.50210189819336,35.2686767578125,89.35631561279297,70.81640625,10.35925006866455,0.24334716796875,7.9013671875,0.9900017380714417
7,8.749999835799827e-08,5.921470642089844,39.971065521240234,31.677751541137695,89.35631561279297,70.81640625,10.455148696899414,0.243865966796875,8.3798828125,0.990001916885376
8,1.0000000116860974e-07,6.134002685546875,0.9651216864585876,0.7648754119873047,89.35631561279297,70.81640625,11.181597709655762,0.2453460693359375,7.9345703125,0.9900023937225342
9,1.1249999687379386e-07,6.058808326721191,1.0548030138015747,0.8359494209289551,89.35631561279297,70.81640625,9.41153621673584,0.23345947265625,7.6875,0.990002453327179
10,1.2499999968440534e-07,6.425945281982422,48.57736587524414,38.498390197753906,98.02873992919922,77.689453125,10.201478004455566,0.239166259765625,8.176513671875,0.9900026321411133
11,1.3749999538958946e-07,5.790126323699951,38.88721466064453,30.818782806396484,50.509063720703125,40.029296875,11.236536979675293,0.2241973876953125,7.684814453125,0.9900045394897461
12,1.500000053056283e-07,5.951547145843506,50.15545654296875,39.749053955078125,57.875328063964844,45.8671875,10.497220039367676,0.232940673828125,7.825927734375,0.9900045990943909
13,1.625000010108124e-07,6.428730487823486,20.046485900878906,15.887182235717773,57.875328063964844,45.8671875,9.835943222045898,0.240234375,8.2587890625,0.9900047779083252
14,1.7499999671599653e-07,6.593077659606934,11.31200122833252,8.964954376220703,57.875328063964844,45.8671875,11.16081428527832,0.238616943359375,8.43798828125,0.9900052547454834
15,1.8750000663203537e-07,6.1383137702941895,23.535757064819336,18.652488708496094,57.875328063964844,45.8671875,11.264372825622559,0.24688720703125,8.031982421875,0.9900054335594177
16,2.0000000233721948e-07,6.289977550506592,46.98002243041992,37.23247146606445,57.91476058959961,45.8984375,12.029166221618652,0.2427520751953125,8.189208984375,0.9900054335594177
17,2.124999980424036e-07,5.667631149291992,42.92523193359375,34.01898193359375,57.91476058959961,45.8984375,10.501361846923828,0.229034423828125,7.899658203125,0.9900055527687073
18,2.2499999374758772e-07,5.670846939086914,4.492611885070801,3.560471534729004,57.91476058959961,45.8984375,10.031630516052246,0.2327728271484375,7.765869140625,0.9900056719779968
19,2.3750000366362656e-07,5.799965858459473,64.3257064819336,50.979217529296875,96.59935760498047,76.556640625,9.174093246459961,0.252227783203125,8.553955078125,0.9900057315826416
20,2.499999993688107e-07,5.451340198516846,44.116790771484375,34.96331024169922,96.59935760498047,76.556640625,9.575175285339355,0.2429046630859375,8.06640625,0.9900062084197998
21,2.625000092848495e-07,5.6436309814453125,55.88688659667969,44.29131317138672,98.86666107177734,78.353515625,12.216545104980469,0.237762451171875,8.335205078125,0.9900063872337341
22,2.749999907791789e-07,5.8313727378845215,37.253875732421875,29.524333953857422,58.77485656738281,46.580078125,11.175135612487793,0.2277374267578125,8.156494140625,0.9900064468383789
23,2.8750000069521775e-07,5.984005451202393,54.76556396484375,43.402645111083984,71.39534759521484,56.58203125,10.72702693939209,0.2306060791015625,8.6083984375,0.9900083541870117
24,3.000000106112566e-07,5.061656475067139,25.270524978637695,20.02732276916504,71.39534759521484,56.58203125,10.421110153198242,0.2366790771484375,7.766845703125,0.990008533000946
25,3.12499992105586e-07,4.990201473236084,51.223567962646484,40.59555435180664,71.39534759521484,56.58203125,9.966157913208008,0.2314300537109375,8.09375,0.990009069442749
26,3.250000020216248e-07,4.8656511306762695,3.9302875995635986,3.1148200035095215,71.39534759521484,56.58203125,8.699946403503418,0.2287139892578125,7.91845703125,0.990009069442749
27,3.3750001193766366e-07,5.197154521942139,44.06496047973633,34.92223358154297,71.39534759521484,56.58203125,11.055845260620117,0.24212646484375,8.121826171875,0.9900092482566833
28,3.4999999343199306e-07,4.989022731781006,9.903228759765625,7.848477840423584,71.39534759521484,56.58203125,9.787110328674316,0.2347259521484375,8.32177734375,0.9900093078613281
29,3.625000033480319e-07,4.7359466552734375,35.032073974609375,27.76351547241211,71.39534759521484,56.58203125,11.143661499023438,0.236968994140625,7.521484375,0.9900093674659729
30,3.7500001326407073e-07,4.454757213592529,39.597251892089844,31.38149642944336,71.39534759521484,56.58203125,9.1943941116333,0.2288665771484375,8.088134765625,0.9900095462799072
31,3.8749999475840013e-07,4.7610859870910645,49.104454040527344,38.91611862182617,71.39534759521484,56.58203125,10.211942672729492,0.2265625,8.144287109375,0.9900100231170654
32,4.0000000467443897e-07,4.5734543800354,4.392550468444824,3.481171131134033,71.39534759521484,56.58203125,8.940125465393066,0.2211761474609375,7.63134765625,0.9900100827217102
33,4.1249998616876837e-07,4.179973125457764,45.48897171020508,36.05078887939453,71.39534759521484,56.58203125,10.487396240234375,0.2293701171875,8.14111328125,0.9900102615356445
34,4.249999960848072e-07,4.1054182052612305,10.018528938293457,7.939855575561523,71.39534759521484,56.58203125,9.793874740600586,0.217620849609375,7.896728515625,0.9900121688842773
35,4.3750000600084604e-07,4.126535892486572,54.54325485229492,43.22645950317383,71.39534759521484,56.58203125,9.845043182373047,0.2415924072265625,8.15625,0.9900122284889221
36,4.4999998749517545e-07,3.5427908897399902,1.056541919708252,0.8373274803161621,71.39534759521484,56.58203125,9.70997428894043,0.2320709228515625,7.637451171875,0.9900124073028564
37,4.624999974112143e-07,3.5224318504333496,51.301116943359375,40.657012939453125,71.39534759521484,56.58203125,10.809818267822266,0.232330322265625,8.1328125,0.9900128841400146
