step,optim/LR (group 0),optim/total grad norm,system/GPU active mem (%),system/GPU active mem (GiB),system/GPU reserved mem (%),system/GPU reserved mem (GiB),throughput/device/data loading (s),train/InfoNCE,train/ModalityPatchDisc
1,1.2500000146076218e-08,6.491077423095703,13.921404838562012,11.032951354980469,14.513192176818848,11.501953125,10.397833824157715,0.2424468994140625,7.716064453125
2,2.5000000292152436e-08,6.585046768188477,46.41541290283203,36.78500747680664,48.55474853515625,38.48046875,11.746342658996582,0.2404327392578125,8.128173828125
3,3.750000132640707e-08,6.706878185272217,52.71194839477539,41.77511978149414,78.10852813720703,61.90234375,12.069355010986328,0.2256927490234375,8.900146484375
4,5.000000058430487e-08,6.210595607757568,40.133934020996094,31.80682945251465,78.10852813720703,61.90234375,9.846139907836914,0.2216796875,8.134033203125
5,6.249999984220267e-08,6.1378560066223145,49.97317123413086,39.604591369628906,85.42304229736328,67.69921875,10.521147727966309,0.23895263671875,7.71875
6,7.500000265281415e-08,6.55177640914917,44.493953704833984,35.2622184753418,89.32674407958984,70.79296875,8.93477725982666,0.2424163818359375,7.8740234375
7,8.749999835799827e-08,5.900465488433838,39.95972442626953,31.668766021728516,89.32674407958984,70.79296875,10.982589721679688,0.2428436279296875,8.351806640625
8,1.0000000116860974e-07,6.104388236999512,0.9648905992507935,0.7646923065185547,89.32674407958984,70.79296875,10.193075180053711,0.24456787109375,7.909912109375
9,1.1249999687379386e-07,6.144619941711426,1.0563733577728271,0.8371939659118652,89.32674407958984,70.79296875,8.915999412536621,0.23193359375,7.64892578125
10,1.2499999968440534e-07,6.544737815856934,48.564208984375,38.48796463012695,99.0909194946289,78.53125,10.130181312561035,0.2396087646484375,8.142333984375
11,1.3749999538958946e-07,5.846359729766846,38.87324142456055,30.807708740234375,50.20347213745117,39.787109375,10.561877250671387,0.2257537841796875,7.662841796875
12,1.500000053056283e-07,5.9357829093933105,50.13630676269531,39.73387908935547,57.56973648071289,45.625,9.2799711227417,0.2332611083984375,7.796875
13,1.625000010108124e-07,6.445160865783691,20.047765731811523,15.88819694519043,57.56973648071289,45.625,8.705815315246582,0.239501953125,8.227294921875
14,1.7499999671599653e-07,6.644906044006348,11.310338973999023,8.96363639831543,57.56973648071289,45.625,10.161970138549805,0.2386474609375,8.403564453125
15,1.8750000663203537e-07,6.2198805809021,23.536117553710938,18.652774810791016,57.56973648071289,45.625,10.777167320251465,0.2472076416015625,7.999755859375
16,2.0000000233721948e-07,6.422271728515625,46.961952209472656,37.2181510925293,57.609169006347656,45.65625,11.847687721252441,0.2412872314453125,8.147705078125
17,2.124999980424036e-07,5.736387252807617,42.915191650390625,34.01102066040039,57.609169006347656,45.65625,10.16869068145752,0.2296905517578125,7.857666015625
18,2.2499999374758772e-07,5.664035797119141,4.490581035614014,3.5588622093200684,57.609169006347656,45.65625,9.489545822143555,0.23260498046875,7.72900390625
19,2.3750000366362656e-07,5.882087707519531,64.30458068847656,50.96248245239258,96.29376220703125,76.314453125,9.961281776428223,0.25201416015625,8.508056640625
20,2.499999993688107e-07,5.442424774169922,44.10040283203125,34.950321197509766,96.29376220703125,76.314453125,9.59429931640625,0.243499755859375,8.02490234375
21,2.625000092848495e-07,5.782311916351318,55.89409637451172,44.297027587890625,98.56106567382812,78.111328125,12.34468936920166,0.2387542724609375,8.29150390625
22,2.749999907791789e-07,5.880984306335449,37.25286102294922,29.523530960083008,58.70338821411133,46.5234375,10.873405456542969,0.2280120849609375,8.12890625
23,2.8750000069521775e-07,6.021782398223877,54.75300598144531,43.39269256591797,71.3238754272461,56.525390625,10.982379913330078,0.2314910888671875,8.561767578125
24,3.000000106112566e-07,5.123030662536621,25.26172637939453,20.020349502563477,71.3238754272461,56.525390625,10.075776100158691,0.2368011474609375,7.723876953125
25,3.12499992105586e-07,4.9727463722229,51.22468185424805,40.596435546875,71.3238754272461,56.525390625,9.841465950012207,0.2314453125,8.04248046875
26,3.250000020216248e-07,4.892987251281738,3.9247562885284424,3.11043643951416,71.3238754272461,56.525390625,8.89794635772705,0.2298431396484375,7.881591796875
27,3.3750001193766366e-07,5.341736316680908,44.06546401977539,34.92263412475586,71.3238754272461,56.525390625,11.103617668151855,0.2423858642578125,8.07177734375
28,3.4999999343199306e-07,5.073608875274658,9.899080276489258,7.845190525054932,71.3238754272461,56.525390625,10.056479454040527,0.234130859375,8.273681640625
29,3.625000033480319e-07,4.723762512207031,35.01313400268555,27.748506546020508,71.3238754272461,56.525390625,12.383132934570312,0.235687255859375,7.46484375
30,3.7500001326407073e-07,4.517637252807617,39.59844207763672,31.382442474365234,71.3238754272461,56.525390625,9.436922073364258,0.228912353515625,8.0361328125
31,3.8749999475840013e-07,4.861186504364014,49.104496002197266,38.91615295410156,71.3238754272461,56.525390625,9.803424835205078,0.2286834716796875,8.09130859375
32,4.0000000467443897e-07,4.586819171905518,4.385159969329834,3.475314140319824,71.3238754272461,56.525390625,9.065128326416016,0.2225799560546875,7.57958984375
33,4.1249998616876837e-07,4.23210334777832,45.47750473022461,36.04169845581055,71.3238754272461,56.525390625,10.288880348205566,0.2301483154296875,8.08740234375
34,4.249999960848072e-07,4.164015769958496,10.019601821899414,7.9407057762146,71.3238754272461,56.525390625,9.575199127197266,0.2181549072265625,7.84228515625
35,4.3750000600084604e-07,4.243671894073486,54.52749252319336,43.21397018432617,71.3238754272461,56.525390625,9.435320854187012,0.241302490234375,8.10693359375
36,4.4999998749517545e-07,3.5119903087615967,1.0542254447937012,0.8354916572570801,71.3238754272461,56.525390625,9.515870094299316,0.2319793701171875,7.5859375
37,4.624999974112143e-07,3.571953058242798,51.29722213745117,40.653926849365234,71.3238754272461,56.525390625,10.876545906066895,0.2305450439453125,8.080078125
38,4.750000073272531e-07,3.6551592350006104,41.98175811767578,33.271263122558594,71.3238754272461,56.525390625,10.401548385620117,0.2191925048828125,8.1380615234375
39,4.87500017243292e-07,3.825932025909424,55.723358154296875,44.161712646484375,79.91497802734375,63.333984375,11.646829605102539,0.21820068359375,8.3173828125
40,4.999999987376214e-07,3.180324077606201,60.55036544799805,47.98719787597656,92.46399688720703,73.279296875,11.109376907348633,0.2345733642578125,8.016357421875
41,5.124999802319508e-07,3.225576877593994,59.838478088378906,47.42301559448242,92.46399688720703,73.279296875,10.266165733337402,0.2259368896484375,7.7421875
42,5.25000018569699e-07,2.9461045265197754,32.41294479370117,25.68781280517578,92.46399688720703,73.279296875,9.457592010498047,0.2349395751953125,7.83056640625
43,5.375000000640284e-07,2.7616944313049316,3.810622215270996,3.0199832916259766,92.46399688720703,73.279296875,8.475565910339355,0.2277984619140625,7.61328125
44,5.499999815583578e-07,2.695716619491577,4.254133224487305,3.3714733123779297,92.46399688720703,73.279296875,10.345622062683105,0.224578857421875,7.6258544921875
45,5.625000198961061e-07,2.566911458969116,36.340919494628906,28.800800323486328,92.46399688720703,73.279296875,10.49539566040039,0.2268218994140625,7.7144775390625
46,5.750000013904355e-07,2.4384748935699463,58.066463470458984,46.0186653137207,92.46399688720703,73.279296875,9.893827438354492,0.2225799560546875,7.924560546875
