sample_idx,h5_read,crop_timestamps,pad_timestamps,fill_missing,subset_sample,ndvi,normalize,total
0,0.129643,0.000068,0.000010,0.065399,0.000669,0.000012,0.000816,0.196638
1,0.009002,0.000051,0.000006,0.159947,0.000524,0.000011,0.000483,0.170033
2,0.009511,0.000049,0.000004,0.160909,0.000486,0.000012,0.000560,0.171537
0,0.436311,0.000056,0.000009,0.160044,0.000619,0.000010,0.019468,0.616542
1,0.008256,0.000049,0.000006,0.023182,0.000445,0.000009,0.021091,0.053050
3,0.011100,0.000045,0.000005,0.144636,0.000517,0.000012,0.000519,0.156842
0,0.734503,0.000060,0.000010,0.006933,0.000368,0.000005,0.010830,0.752724
1,0.007128,0.000040,0.000007,0.052367,0.000309,0.000005,0.001833,0.061696
2,0.017980,0.000088,0.000012,0.136447,0.000407,0.000008,0.016833,0.171785
2,0.006251,0.000039,0.000004,0.055631,0.000321,0.000004,0.001833,0.064089
4,0.012454,0.000038,0.000004,0.150967,0.000412,0.000010,0.000521,0.164414
3,0.006976,0.000033,0.000006,0.015895,0.000299,0.000004,0.001795,0.025011
4,0.005536,0.000033,0.000007,0.050106,0.000319,0.000005,0.001996,0.058008
3,0.008495,0.000050,0.000005,0.125288,0.000611,0.000013,0.025045,0.159523
5,0.006972,0.000039,0.000006,0.077287,0.000496,0.000009,0.003431,0.088246
5,0.009595,0.000050,0.000004,0.175491,0.000572,0.000012,0.000695,0.186429
6,0.007707,0.000040,0.000005,0.044975,0.000297,0.000004,0.001799,0.054832
7,0.005444,0.000030,0.000006,0.016465,0.000270,0.000004,0.001746,0.023969
0,1.050822,0.000069,0.000008,0.139656,0.000663,0.000009,0.000776,1.192017
8,0.009013,0.000032,0.000007,0.046428,0.000293,0.000004,0.001634,0.057415
4,0.009217,0.000043,0.000005,0.165784,0.000435,0.000011,0.023531,0.199038
9,0.007327,0.000042,0.000005,0.015901,0.000329,0.000028,0.001862,0.025497
6,0.010404,0.000047,0.000005,0.167511,0.000797,0.000011,0.000706,0.179489
10,0.010307,0.000036,0.000006,0.045930,0.000286,0.000004,0.001978,0.058554
11,0.005825,0.000029,0.000005,0.012781,0.000310,0.000004,0.001866,0.020825
1,0.007372,0.000050,0.000006,0.164880,0.000452,0.000007,0.000441,0.173214
12,0.005293,0.000048,0.000005,0.069103,0.000321,0.000004,0.001803,0.076580
5,0.009415,0.000050,0.000005,0.152183,0.000509,0.000019,0.034926,0.197123
2,0.010657,0.000054,0.000005,0.036914,0.000487,0.000007,0.000472,0.048599
13,0.006356,0.000032,0.000006,0.021099,0.000313,0.000005,0.001886,0.029701
0,1.351792,0.000047,0.000009,0.084396,0.000434,0.000007,0.004898,1.441590
3,0.008223,0.000043,0.000005,0.027504,0.000440,0.000007,0.000497,0.036721
7,0.016420,0.000054,0.000006,0.184067,0.000510,0.000023,0.000533,0.201616
14,0.006387,0.000031,0.000004,0.053295,0.000278,0.000004,0.001914,0.061917
15,0.006760,0.000033,0.000006,0.015344,0.000298,0.000004,0.001957,0.024408
16,0.004843,0.000029,0.000006,0.044697,0.000272,0.000004,0.001870,0.051727
1,0.007879,0.000051,0.000006,0.123367,0.000450,0.000009,0.006104,0.137876
6,0.009479,0.000049,0.000005,0.152939,0.000866,0.000016,0.027439,0.190805
4,0.008260,0.000049,0.000005,0.136161,0.000462,0.000008,0.000494,0.145444
17,0.007851,0.000032,0.000006,0.024143,0.000310,0.000005,0.001906,0.034257
8,0.008943,0.000051,0.000004,0.177146,0.000544,0.000012,0.000612,0.187320
7,0.009159,0.000045,0.000005,0.015329,0.000258,0.000005,0.032468,0.057280
0,1.626305,0.000063,0.000009,0.054611,0.000648,0.000010,0.000612,1.682265
18,0.006209,0.000028,0.000006,0.066106,0.000286,0.000004,0.001684,0.074328
19,0.007151,0.000034,0.000006,0.015126,0.000292,0.000004,0.001787,0.024405
20,0.005558,0.000036,0.000006,0.008544,0.000252,0.000004,0.001757,0.016161
2,0.008858,0.000047,0.000005,0.141691,0.000572,0.000011,0.011700,0.162898
21,0.004852,0.000030,0.000005,0.012958,0.000269,0.000006,0.001727,0.019852
8,0.007658,0.000052,0.000006,0.093330,0.000384,0.000005,0.014229,0.115672
1,0.007442,0.000045,0.000006,0.098457,0.000430,0.000006,0.000389,0.106779
5,0.041415,0.000044,0.000004,0.144235,0.000483,0.000008,0.000602,0.186795
22,0.004392,0.000026,0.000006,0.046530,0.000298,0.000004,0.001986,0.053247
2,0.006329,0.000037,0.000004,0.014019,0.000349,0.000005,0.000351,0.021097
9,0.010201,0.000053,0.000005,0.152172,0.000415,0.000007,0.000477,0.163336
23,0.006393,0.000030,0.000006,0.008357,0.000268,0.000004,0.001715,0.016777
24,0.004464,0.000030,0.000005,0.047496,0.000272,0.000004,0.001765,0.054042
3,0.008722,0.000046,0.000005,0.152722,0.000578,0.000014,0.009669,0.171769
9,0.007426,0.000049,0.000005,0.128180,0.000431,0.000007,0.013201,0.149305
6,0.007785,0.000046,0.000005,0.145366,0.000529,0.000011,0.000678,0.154424
25,0.007367,0.000029,0.000005,0.068421,0.000264,0.000004,0.001732,0.077826
10,0.008816,0.000050,0.000005,0.156774,0.000471,0.000010,0.000506,0.166638
26,0.006514,0.000029,0.000006,0.014747,0.000242,0.000004,0.001574,0.023119
3,0.008542,0.000056,0.000005,0.169617,0.000445,0.000009,0.000536,0.179214
27,0.006546,0.000028,0.000005,0.012404,0.000276,0.000004,0.001731,0.020999
0,1.967079,0.000044,0.000007,0.055975,0.000698,0.000012,0.005979,2.029821
4,0.011147,0.000054,0.000004,0.025973,0.000801,0.000017,0.001131,0.039139
4,0.007858,0.000038,0.000003,0.132403,0.000408,0.000009,0.005341,0.146068
