sample_idx,h5_read,crop_timestamps,pad_timestamps,fill_missing,subset_sample,ndvi,normalize,total
0,0.118844,0.000080,0.000008,0.096993,0.000426,0.000006,0.001464,0.217833
1,0.007237,0.000043,0.000004,0.025670,0.000456,0.000012,0.002073,0.035499
2,0.007066,0.000040,0.000004,0.011692,0.000363,0.000009,0.001700,0.020879
3,0.006022,0.000050,0.000004,0.015635,0.000305,0.000006,0.001227,0.023253
4,0.005770,0.000033,0.000003,0.075605,0.000370,0.000008,0.001942,0.083739
5,0.008305,0.000045,0.000005,0.027570,0.000385,0.000009,0.002190,0.038516
0,0.408657,0.000038,0.000006,0.044914,0.000330,0.000005,0.009797,0.463753
1,0.004346,0.000034,0.000004,0.040029,0.000252,0.000004,0.007693,0.052369
6,0.008125,0.000062,0.000004,0.127730,0.000460,0.000008,0.002439,0.138835
2,0.006299,0.000030,0.000003,0.051083,0.000268,0.000004,0.010273,0.067967
3,0.005404,0.000030,0.000003,0.049337,0.000383,0.000009,0.011383,0.066557
4,0.010221,0.000038,0.000004,0.017239,0.000300,0.000004,0.013907,0.041723
7,0.009489,0.000045,0.000004,0.138607,0.000431,0.000010,0.002284,0.150876
0,0.721222,0.000043,0.000006,0.020527,0.000352,0.000005,0.001615,0.743775
5,0.006696,0.000036,0.000004,0.062791,0.000292,0.000004,0.011576,0.081405
1,0.004646,0.000033,0.000003,0.045838,0.000272,0.000005,0.001351,0.052153
6,0.006085,0.000035,0.000004,0.013448,0.000352,0.000005,0.012284,0.032220
2,0.004796,0.000033,0.000003,0.049742,0.000270,0.000006,0.001627,0.056482
8,0.009963,0.000046,0.000005,0.124212,0.000441,0.000009,0.002135,0.136817
7,0.006368,0.000034,0.000004,0.065985,0.000299,0.000005,0.012289,0.084991
3,0.006026,0.000035,0.000004,0.052843,0.000310,0.000007,0.002219,0.061450
8,0.006275,0.000034,0.000004,0.025185,0.000317,0.000005,0.013653,0.045480
4,0.007106,0.000040,0.000003,0.024432,0.000352,0.000009,0.002371,0.034319
9,0.005461,0.000033,0.000005,0.014872,0.000322,0.000005,0.013437,0.034142
9,0.008509,0.000059,0.000005,0.111082,0.000317,0.000004,0.001499,0.121480
5,0.006372,0.000030,0.000003,0.066791,0.000228,0.000005,0.001346,0.074778
0,1.017707,0.000043,0.000006,0.023112,0.000379,0.000006,0.000326,1.041583
10,0.006170,0.000033,0.000002,0.032353,0.000296,0.000005,0.001240,0.040103
10,0.006114,0.000032,0.000004,0.053677,0.000294,0.000004,0.010586,0.070717
1,0.004211,0.000029,0.000004,0.046348,0.000275,0.000005,0.000147,0.051021
6,0.005079,0.000033,0.000003,0.049352,0.000233,0.000005,0.001403,0.056112
11,0.005942,0.000033,0.000004,0.062136,0.000263,0.000004,0.001191,0.069577
2,0.007127,0.000033,0.000003,0.016305,0.000295,0.000006,0.000185,0.023957
11,0.006245,0.000069,0.000005,0.070576,0.000338,0.000004,0.012597,0.089841
7,0.005308,0.000033,0.000003,0.067105,0.000330,0.000006,0.002653,0.075443
