sample_idx,h5_read,crop_timestamps,pad_timestamps,fill_missing,subset_sample,ndvi,normalize,total
0,0.630863,0.000036,0.000004,0.017908,0.000269,0.000005,0.000352,0.649440
1,0.004275,0.000033,0.000003,0.024840,0.000240,0.000004,0.000224,0.029623
2,0.004456,0.000034,0.000003,0.027407,0.000230,0.000004,0.000224,0.032360
0,1.184329,0.000032,0.000004,0.023087,0.000336,0.000006,0.007303,1.215102
3,0.003845,0.000026,0.000003,0.023402,0.000216,0.000004,0.000221,0.027719
1,0.004313,0.000032,0.000003,0.006915,0.000343,0.000008,0.007883,0.019502
4,0.005669,0.000033,0.000003,0.027570,0.000229,0.000004,0.000239,0.033751
2,0.004407,0.000026,0.000002,0.019768,0.000235,0.000005,0.005599,0.030045
5,0.004613,0.000030,0.000003,0.027248,0.000235,0.000004,0.000220,0.032356
3,0.004110,0.000026,0.000003,0.017942,0.000221,0.000004,0.005271,0.027580
6,0.005509,0.000031,0.000003,0.027389,0.000246,0.000004,0.000226,0.033411
0,1.877359,0.000035,0.000005,0.006435,0.000266,0.000005,0.001622,1.885731
4,0.004420,0.000030,0.000002,0.025255,0.000239,0.000004,0.005812,0.035768
7,0.005292,0.000029,0.000003,0.031612,0.000218,0.000004,0.000224,0.037384
1,0.005782,0.000034,0.000003,0.032559,0.000235,0.000004,0.001484,0.040105
5,0.004326,0.000025,0.000003,0.025415,0.000224,0.000004,0.005203,0.035203
8,0.005180,0.000032,0.000003,0.033254,0.000251,0.000004,0.000240,0.038967
0,2.307865,0.000034,0.000004,0.037898,0.000338,0.000005,0.000394,2.346541
0,2.348636,0.000032,0.000005,0.045749,0.000299,0.000005,0.003588,2.398320
2,0.006177,0.000028,0.000003,0.051563,0.000252,0.000004,0.001603,0.059632
6,0.005544,0.000032,0.000003,0.043000,0.000220,0.000004,0.006684,0.055493
9,0.006366,0.000033,0.000002,0.045579,0.000221,0.000004,0.000226,0.052433
1,0.006175,0.000027,0.000003,0.032578,0.000238,0.000004,0.000229,0.039257
0,2.475873,0.000036,0.000005,0.012011,0.000403,0.000008,0.000532,2.488871
3,0.005957,0.000030,0.000003,0.012492,0.000263,0.000005,0.001787,0.020538
1,0.004554,0.000031,0.000003,0.037723,0.000237,0.000004,0.002141,0.044697
7,0.004144,0.000027,0.000003,0.003040,0.000242,0.000005,0.006658,0.014122
0,2.483298,0.000032,0.000005,0.022024,0.000298,0.000005,0.002467,2.508133
2,0.007899,0.000033,0.000003,0.021367,0.000337,0.000006,0.000276,0.029925
1,0.008583,0.000057,0.000008,0.022262,0.000426,0.000010,0.004343,0.035696
3,0.007107,0.000040,0.000004,0.012563,0.000257,0.000004,0.000263,0.020240
10,0.005235,0.000033,0.000003,0.058598,0.000251,0.000004,0.000239,0.064366
4,0.007897,0.000045,0.000004,0.047137,0.000241,0.000004,0.001605,0.056936
8,0.005493,0.000030,0.000003,0.045732,0.000248,0.000005,0.007062,0.058576
2,0.008147,0.000041,0.000004,0.049049,0.000260,0.000005,0.002427,0.059935
1,0.006528,0.000046,0.000004,0.060048,0.000252,0.000004,0.000257,0.067141
2,0.003889,0.000024,0.000002,0.007192,0.000238,0.000004,0.000247,0.011600
4,0.004642,0.000027,0.000003,0.043985,0.000255,0.000004,0.000258,0.049177
2,0.004883,0.000027,0.000004,0.048678,0.000263,0.000004,0.002430,0.056294
11,0.005945,0.000027,0.000003,0.049770,0.000260,0.000004,0.000239,0.056251
5,0.005682,0.000025,0.000003,0.048887,0.000243,0.000004,0.001655,0.056502
3,0.004490,0.000028,0.000003,0.044379,0.000229,0.000005,0.002444,0.051581
9,0.004367,0.000027,0.000002,0.044472,0.000266,0.000006,0.006818,0.055963
3,0.004757,0.000033,0.000003,0.044041,0.000248,0.000004,0.000273,0.049360
5,0.005978,0.000029,0.000003,0.046101,0.000238,0.000004,0.000245,0.052599
12,0.006032,0.000026,0.000004,0.044084,0.000250,0.000004,0.000240,0.050643
3,0.005896,0.000029,0.000004,0.050993,0.000253,0.000004,0.002410,0.059592
4,0.005787,0.000028,0.000003,0.007250,0.000231,0.000004,0.000261,0.013566
10,0.005455,0.000032,0.000003,0.040478,0.000225,0.000004,0.005836,0.052037
4,0.005959,0.000035,0.000003,0.035616,0.000209,0.000004,0.002353,0.044184
6,0.009071,0.000037,0.000005,0.038490,0.000219,0.000003,0.001597,0.049425
4,0.010206,0.000036,0.000004,0.017490,0.000304,0.000004,0.002783,0.030833
7,0.006374,0.000039,0.000004,0.023191,0.000340,0.000007,0.002868,0.032830
6,0.004041,0.000026,0.000003,0.045823,0.000258,0.000004,0.000258,0.050414
13,0.005212,0.000027,0.000003,0.052672,0.000244,0.000004,0.000226,0.058390
5,0.008126,0.000031,0.000003,0.051052,0.000230,0.000004,0.000269,0.059717
5,0.006050,0.000027,0.000003,0.050934,0.000238,0.000004,0.002421,0.059681
11,0.005113,0.000029,0.000003,0.055159,0.000246,0.000005,0.007182,0.067744
0,2.814755,0.000041,0.000006,0.056705,0.000320,0.000005,0.005439,2.877277
5,0.004687,0.000027,0.000004,0.045882,0.000240,0.000004,0.002324,0.053172
8,0.005829,0.000034,0.000003,0.046241,0.000241,0.000004,0.001565,0.053921
