sample_idx,h5_read,crop_timestamps,pad_timestamps,fill_missing,subset_sample,ndvi,normalize,total
0,1.821336,0.000031,0.000005,0.035401,0.000279,0.000006,0.005236,1.862300
0,1.772290,0.000033,0.000005,0.039990,0.000299,0.000005,0.003324,1.815952
0,4.360725,0.000029,0.000005,0.027704,0.000267,0.000005,0.000709,4.389447
0,2.865534,0.000035,0.000004,0.032939,0.000281,0.000005,0.002458,2.901262
0,12.915206,0.000046,0.000007,0.016387,0.000323,0.000005,0.002299,12.934277
0,7.119433,0.000035,0.000004,0.029043,0.000275,0.000005,0.001611,7.150411
0,11.067640,0.000051,0.000008,0.034009,0.000280,0.000005,0.000565,11.102561
0,12.727328,0.000035,0.000006,0.031426,0.000320,0.000005,0.000741,12.759864
0,12.300929,0.000046,0.000008,0.041400,0.000373,0.000005,0.001301,12.344066
0,12.564456,0.000040,0.000005,0.027734,0.000320,0.000005,0.000287,12.592850
0,11.592418,0.000045,0.000008,0.028901,0.000339,0.000005,0.000375,11.622095
0,13.101050,0.000036,0.000004,0.031506,0.000318,0.000004,0.000449,13.133371
0,10.244322,0.000035,0.000005,0.025810,0.000274,0.000005,0.003700,10.274155
0,13.141004,0.000053,0.000007,0.038964,0.000335,0.000005,0.000284,13.180655
0,8.920564,0.000042,0.000007,0.027402,0.000315,0.000005,0.001018,8.949357
1,0.018469,0.000098,0.000011,0.162147,0.002051,0.000034,0.012092,0.194951
1,0.079597,0.000106,0.000012,0.198258,0.002197,0.000073,0.001460,0.281732
1,0.080446,0.000105,0.000011,0.307633,0.001046,0.000018,0.009558,0.398841
1,0.093652,0.000173,0.000013,0.496131,0.000779,0.000015,0.076258,0.667047
1,0.019068,0.000110,0.000010,0.684771,0.001765,0.000038,0.014767,0.720568
1,0.071584,0.000091,0.000010,0.686048,0.000749,0.000014,0.008772,0.767285
1,0.020806,0.000090,0.000009,0.758130,0.000436,0.000008,0.003447,0.782934
1,0.104811,0.000114,0.000010,0.694869,0.000992,0.000014,0.004195,0.805038
1,0.016178,0.000041,0.000005,0.791317,0.000533,0.000015,0.059357,0.867470
1,0.013147,0.000035,0.000005,0.703688,0.000355,0.000008,0.155982,0.873232
1,0.058331,0.000178,0.000013,0.825677,0.000968,0.000018,0.001061,0.886263
1,0.098087,0.000136,0.000015,0.870011,0.001043,0.000034,0.000787,0.970130
2,0.030398,0.000082,0.000008,0.478601,0.000752,0.000014,0.004757,0.514628
2,0.076564,0.000093,0.000014,0.621099,0.001021,0.000016,0.000587,0.699405
1,0.015862,0.000031,0.000003,0.971562,0.000456,0.000009,0.020940,1.008876
1,0.083856,0.000129,0.000010,0.896651,0.000935,0.000015,0.001392,0.983007
1,0.096209,0.000122,0.000009,0.898769,0.001173,0.000026,0.059383,1.055722
2,0.077166,0.000083,0.000011,0.792024,0.000861,0.000019,0.003308,0.873495
1,0.022683,0.000040,0.000005,1.081046,0.000410,0.000008,0.011532,1.115733
2,0.086669,0.000116,0.000012,0.226190,0.000907,0.000017,0.000593,0.314512
2,0.017556,0.000054,0.000006,0.583960,0.000803,0.000012,0.004661,0.607070
2,0.036332,0.000089,0.000007,0.285657,0.000413,0.000010,0.027946,0.350463
2,0.019500,0.000097,0.000009,0.690765,0.000870,0.000022,0.076709,0.788001
2,0.016482,0.000080,0.000009,0.706770,0.000818,0.000015,0.007761,0.731948
3,0.063716,0.000097,0.000011,0.592349,0.000668,0.000011,0.000527,0.657387
3,0.077800,0.000092,0.000009,0.545583,0.048916,0.000020,0.004420,0.676854
3,0.029369,0.000095,0.000007,0.109586,0.000350,0.000008,0.064863,0.204295
