sample_idx,h5_read,crop_timestamps,pad_timestamps,fill_missing,subset_sample,ndvi,normalize,total
0,0.848429,0.000039,0.000005,0.031844,0.000295,0.000005,0.001953,0.882573
0,1.600928,0.000036,0.000004,0.041671,0.000307,0.000004,0.000339,1.643293
1,0.004310,0.000031,0.000003,0.023341,0.000250,0.000004,0.001665,0.029608
1,0.006837,0.000041,0.000004,0.028769,0.000252,0.000004,0.000241,0.036150
0,2.555694,0.000036,0.000004,0.023524,0.000303,0.000005,0.006622,2.586193
2,0.004461,0.000029,0.000002,0.022683,0.000245,0.000004,0.001720,0.029146
2,0.004471,0.000031,0.000002,0.026967,0.000233,0.000004,0.000217,0.031927
0,3.717351,0.000039,0.000004,0.011771,0.000300,0.000005,0.000647,3.730123
0,4.058490,0.000035,0.000004,0.007149,0.000265,0.000004,0.001018,4.066969
1,0.004214,0.000028,0.000003,0.025999,0.000258,0.000004,0.005040,0.035551
3,0.003873,0.000028,0.000002,0.019846,0.000243,0.000004,0.001487,0.025485
3,0.003818,0.000029,0.000003,0.009844,0.000240,0.000004,0.000197,0.014136
0,5.956753,0.000035,0.000005,0.025423,0.000288,0.000004,0.002117,5.984632
0,5.858260,0.000034,0.000005,0.037386,0.000293,0.000005,0.000443,5.896430
1,0.004383,0.000032,0.000003,0.024831,0.000287,0.000006,0.000533,0.030078
0,6.486747,0.000035,0.000004,0.021901,0.000305,0.000005,0.006639,6.515644
0,7.117128,0.000040,0.000005,0.030404,0.000300,0.000004,0.002843,7.150735
1,0.004368,0.000035,0.000003,0.023948,0.000246,0.000004,0.000986,0.029594
2,0.004257,0.000031,0.000003,0.026953,0.000250,0.000004,0.005353,0.036855
0,7.528759,0.000036,0.000005,0.028059,0.000310,0.000004,0.003492,7.560676
4,0.005409,0.000030,0.000002,0.008714,0.000221,0.000004,0.001570,0.015953
0,7.950469,0.000036,0.000004,0.024617,0.000302,0.000005,0.002621,7.978064
0,8.059107,0.000034,0.000004,0.024992,0.000297,0.000005,0.003958,8.088404
0,8.177018,0.000028,0.000004,0.030312,0.000319,0.000005,0.001385,8.209081
4,0.005384,0.000032,0.000002,0.024529,0.000229,0.000003,0.000227,0.030409
0,8.219998,0.000031,0.000005,0.018096,0.000316,0.000005,0.001179,8.239634
1,0.004403,0.000035,0.000003,0.033281,0.000253,0.000005,0.002427,0.040409
1,0.004659,0.000031,0.000003,0.047127,0.000283,0.000005,0.000388,0.052498
2,0.005343,0.000032,0.000003,0.041006,0.000252,0.000004,0.000570,0.047213
0,8.312316,0.000038,0.000005,0.010859,0.000320,0.000004,0.002404,8.325958
1,0.004756,0.000039,0.000004,0.046488,0.000262,0.000005,0.006126,0.057685
0,8.329145,0.000037,0.000006,0.051339,0.000309,0.000005,0.000421,8.381270
1,0.004251,0.000037,0.000004,0.043580,0.000232,0.000004,0.002692,0.050804
1,0.005041,0.000036,0.000005,0.007263,0.000225,0.000005,0.003330,0.015909
3,0.006975,0.000028,0.000002,0.014694,0.000233,0.000004,0.005823,0.027763
2,0.005739,0.000033,0.000004,0.037821,0.000241,0.000004,0.001081,0.044926
5,0.004625,0.000027,0.000002,0.022133,0.000240,0.000004,0.001579,0.028612
1,0.004408,0.000035,0.000004,0.025749,0.000236,0.000004,0.001998,0.032436
1,0.004276,0.000028,0.000003,0.023756,0.000234,0.000004,0.002792,0.031097
1,0.004284,0.000029,0.000003,0.023062,0.000232,0.000004,0.001291,0.028908
5,0.004502,0.000032,0.000003,0.010202,0.000215,0.000004,0.000234,0.015192
2,0.004226,0.000031,0.000002,0.024738,0.000229,0.000004,0.002011,0.031244
1,0.004305,0.000032,0.000003,0.021478,0.000243,0.000004,0.000975,0.027044
2,0.005299,0.000037,0.000003,0.033532,0.000324,0.000004,0.000482,0.039685
1,0.007124,0.000037,0.000005,0.064776,0.000305,0.000007,0.003418,0.075676
2,0.005903,0.000044,0.000004,0.049973,0.000278,0.000004,0.005800,0.062012
3,0.008956,0.000037,0.000003,0.044979,0.000264,0.000004,0.000598,0.054845
1,0.004282,0.000030,0.000003,0.021678,0.000240,0.000004,0.000263,0.026503
2,0.005219,0.000038,0.000002,0.024494,0.000257,0.000004,0.002408,0.032426
4,0.004210,0.000030,0.000003,0.019021,0.000242,0.000004,0.004907,0.028420
2,0.003836,0.000029,0.000003,0.023266,0.000239,0.000004,0.002664,0.030044
3,0.004497,0.000046,0.000003,0.026118,0.000241,0.000004,0.000954,0.031866
6,0.004532,0.000031,0.000003,0.023486,0.000248,0.000004,0.001679,0.029985
2,0.004227,0.000030,0.000002,0.022653,0.000245,0.000004,0.002036,0.029199
2,0.004299,0.000029,0.000002,0.026075,0.000236,0.000003,0.002978,0.033627
3,0.013499,0.000046,0.000005,0.027994,0.000594,0.000013,0.014586,0.056758
2,0.010193,0.000078,0.000006,0.053701,0.000692,0.000018,0.008097,0.072801
3,0.014071,0.000079,0.000010,0.042655,0.000662,0.000014,0.015666,0.073172
6,0.004790,0.000030,0.000003,0.174049,0.000721,0.000014,0.000574,0.180191
2,0.005862,0.000034,0.000003,0.177510,0.000542,0.000005,0.000470,0.184429
3,0.005762,0.000031,0.000004,0.177359,0.000552,0.000010,0.007606,0.191338
2,0.010871,0.000057,0.000006,0.174956,0.000580,0.000009,0.003571,0.190062
3,0.005089,0.000034,0.000003,0.187397,0.000529,0.000008,0.000782,0.193853
5,0.005704,0.000032,0.000003,0.167624,0.000524,0.000013,0.017452,0.191364
4,0.006798,0.000041,0.000005,0.175868,0.000569,0.000011,0.003171,0.186476
3,0.009899,0.000048,0.000004,0.180013,0.000487,0.000008,0.014805,0.205276
