sample_idx,h5_read,crop_timestamps,pad_timestamps,fill_missing,subset_sample,ndvi,normalize,total
0004,0.032780,0.000381,0.000007,0.001301,1.858586
0,2.660529,0.000042,0.000006,0.027730,0.000361,0.000005,0.000293,2.688970
0,4.328415,0.000037,0.000005,0.006501,0.000277,0.000005,0.000851,4.336093
0,4.365909,0.000040,0.000005,0.005818,0.000294,0.000005,0.001397,4.373474
0,4.331710,0.000044,0.000006,0.011654,0.000350,0.000006,0.003282,4.347065
0,4.394484,0.000038,0.000005,0.037015,0.000329,0.000005,0.007466,4.439347
0,4.409043,0.000037,0.000005,0.034103,0.000309,0.000005,0.005283,4.448799
0,4.616751,0.000036,0.000005,0.025674,0.000341,0.000008,0.000903,4.643722
0,4.502356,0.000035,0.000005,0.021563,0.000297,0.000005,0.005947,4.530221
1,0.007541,0.000042,0.000004,0.015437,0.000281,0.000005,0.001245,0.024559
1,0.006882,0.000047,0.000004,0.011540,0.000309,0.000005,0.000209,0.018999
1,0.006704,0.000043,0.000005,0.012462,0.000279,0.000005,0.005944,0.025449
1,0.007211,0.000039,0.000005,0.013593,0.000445,0.000009,0.011137,0.032446
1,0.007814,0.000051,0.000006,0.011259,0.000360,0.000005,0.000559,0.020057
0,4.767743,0.000049,0.000006,0.017501,0.000423,0.000008,0.003630,4.789368
1,0.006591,0.000039,0.000006,0.052933,0.000233,0.000005,0.001371,0.061182
1,0.008879,0.000046,0.000004,0.015124,0.000314,0.000005,0.005954,0.030339
1,0.006505,0.000061,0.000008,0.064488,0.000348,0.000006,0.001877,0.073298
1,0.009772,0.000052,0.000005,0.056071,0.000282,0.000005,0.000928,0.067121
1,0.005936,0.000037,0.000004,0.067420,0.000339,0.000007,0.000192,0.073940
1,0.007189,0.000047,0.000005,0.052784,0.000320,0.000004,0.005694,0.066048
2,0.005269,0.000027,0.000003,0.037477,0.000231,0.000004,0.001116,0.044131
2,0.004623,0.000029,0.000003,0.043918,0.000232,0.000004,0.000165,0.048975
2,0.006504,0.000038,0.000004,0.020936,0.000333,0.000004,0.003703,0.031526
2,0.004037,0.000027,0.000003,0.003673,0.000252,0.000005,0.000514,0.008513
3,0.006029,0.000034,0.000005,0.007332,0.000316,0.000006,0.003681,0.017409
2,0.008112,0.000048,0.000005,0.017083,0.000451,0.000009,0.000263,0.025973
3,0.006908,0.000038,0.000004,0.026304,0.000349,0.000006,0.000203,0.033813
4,0.006168,0.000032,0.000003,0.008853,0.000312,0.000005,0.000232,0.015609
0,4.900920,0.000034,0.000006,0.072401,0.000355,0.000006,0.001016,4.974745
1,0.005735,0.000036,0.000004,0.075482,0.000284,0.000004,0.002753,0.084303
2,0.007755,0.000049,0.000006,0.072246,0.000402,0.000004,0.001122,0.081589
2,0.009012,0.000049,0.000006,0.076333,0.000273,0.000004,0.001980,0.087663
