sample_idx,h5_read,crop_timestamps,pad_timestamps,fill_missing,subset_sample,ndvi,normalize,total
0,5.311308,0.000033,0.000004,0.012426,0.000249,0.000004,0.000682,5.324709
0,8.807027,0.000034,0.000004,0.027423,0.000251,0.000005,0.006809,8.841557
0,11.358229,0.000040,0.000005,0.029105,0.000315,0.000005,0.000646,11.388348
0,9.790974,0.000033,0.000004,0.030009,0.000291,0.000005,0.000585,9.821904
0,9.027239,0.000031,0.000004,0.030264,0.000270,0.000005,0.001004,9.058820
0,10.337914,0.000034,0.000004,0.014367,0.000259,0.000005,0.000329,10.352916
0,11.751244,0.000042,0.000007,0.012653,0.000304,0.000005,0.004758,11.769019
0,10.946162,0.000037,0.000004,0.024549,0.000321,0.000004,0.004110,10.975199
0,11.510824,0.000043,0.000007,0.011349,0.000305,0.000005,0.000393,11.522929
0,11.910916,0.000046,0.000005,0.015047,0.000339,0.000004,0.007874,11.934237
0,10.596214,0.000046,0.000007,0.012572,0.000325,0.000005,0.000358,10.609531
0,11.856819,0.000059,0.000005,0.008793,0.000288,0.000004,0.000340,11.866311
0,11.987880,0.000060,0.000010,0.066248,0.001105,0.000018,0.001085,12.056424
0,12.023356,0.000059,0.000010,0.025865,0.000667,0.000009,0.000877,12.050850
1,0.073663,0.000105,0.000009,0.185149,0.001153,0.000018,0.098428,0.358551
1,0.144677,0.007473,0.000027,0.132115,0.001050,0.000020,0.075838,0.361227
0,12.030591,0.000072,0.000008,0.454528,0.001193,0.000033,0.003411,12.489859
0,12.018698,0.000043,0.000005,0.545609,0.001065,0.000019,0.002657,12.568109
1,0.151890,0.000230,0.000029,0.207141,0.000917,0.000011,0.085852,0.446094
1,0.095469,0.000121,0.000014,0.375457,0.001044,0.000023,0.000679,0.472813
1,0.032109,0.000125,0.000016,0.504001,0.001131,0.000016,0.001190,0.538605
2,0.072839,0.000089,0.000013,0.115404,0.000769,0.000015,0.027747,0.216902
2,0.033976,0.000086,0.000008,0.075660,0.000864,0.000015,0.000937,0.111556
1,0.034888,0.000101,0.000009,0.607208,0.000867,0.000011,0.000849,0.643939
1,0.015752,0.000044,0.000004,0.682795,0.000259,0.000005,0.049946,0.748818
1,0.015292,0.000035,0.000003,0.741793,0.001364,0.000054,0.013832,0.772391
1,0.015802,0.000037,0.000004,0.757281,0.000538,0.000011,0.000796,0.774476
2,0.022513,0.000049,0.000004,0.175527,0.000409,0.000008,0.001954,0.200468
1,0.058541,0.000149,0.000016,0.874286,0.002516,0.000073,0.004371,0.939998
1,0.015356,0.000037,0.000004,0.838063,0.000420,0.000011,0.109019,0.962923
1,0.026052,0.000074,0.000008,0.947523,0.001548,0.000046,0.004105,0.979363
1,0.015878,0.000098,0.000010,0.523163,0.049091,0.000013,0.002818,0.591087
2,0.017863,0.000115,0.000019,0.577260,0.000863,0.000014,0.030817,0.626962
1,0.072478,0.000112,0.000009,0.968456,0.001099,0.000019,0.000669,1.042859
1,0.075497,0.000104,0.000010,0.586291,0.000947,0.000014,0.003385,0.666271
1,0.108749,0.000240,0.000021,0.907805,0.001589,0.000026,0.002831,1.021277
2,0.073519,0.000052,0.000004,0.232153,0.000402,0.000007,0.004107,0.310254
3,0.017933,0.000077,0.000007,0.092091,0.000848,0.000012,0.072467,0.183450
2,0.019191,0.000083,0.000007,0.701837,0.000935,0.000015,0.075455,0.797544
3,0.072896,0.000113,0.000008,0.600874,0.000814,0.000016,0.000802,0.675534
2,0.034036,0.000116,0.000014,0.670377,0.000773,0.000015,0.000806,0.706147
3,0.027079,0.000085,0.000006,0.700335,0.000812,0.000017,0.068474,0.796829
2,0.105566,0.000104,0.000010,0.614431,0.000762,0.000011,0.000788,0.721682
4,0.046869,0.000079,0.000007,0.096235,0.000868,0.000017,0.082186,0.226283
2,0.023502,0.000097,0.000024,0.593307,0.000805,0.000017,0.002487,0.620252
2,0.030026,0.000103,0.000015,0.587934,0.000801,0.000010,0.000413,0.619330
2,0.017470,0.000088,0.000011,0.681930,0.000808,0.000017,0.002826,0.703165
2,0.075279,0.000062,0.000007,0.912292,0.000486,0.000009,0.000701,0.988844
3,0.019436,0.000053,0.000004,0.791715,0.000387,0.000009,0.002043,0.813654
3,0.017008,0.000076,0.000011,0.104216,0.000705,0.000010,0.000426,0.122463
2,0.076591,0.000043,0.000004,0.892592,0.000367,0.000007,0.002729,0.972340
3,0.087835,0.000098,0.000009,0.517557,0.000925,0.000019,0.105448,0.711923
2,0.084045,0.000108,0.000011,0.838041,0.000902,0.000017,0.002860,0.926001
3,0.092440,0.000128,0.000007,0.126985,0.000818,0.000017,0.002621,0.223031
3,0.017357,0.000042,0.000003,0.827583,0.000246,0.000005,0.002557,0.847800
4,0.019863,0.000081,0.000007,0.671472,0.001009,0.000010,0.000805,0.693266
2,0.091527,0.000131,0.000015,0.989855,0.001153,0.000023,0.001789,1.084516
2,0.030609,0.000034,0.000003,0.961991,0.000391,0.000008,0.109494,1.102539
4,0.066061,0.000054,0.000005,0.289206,0.000381,0.000007,0.002134,0.357856
3,0.070558,0.000103,0.000006,0.608931,0.001571,0.000044,0.002115,0.683348
4,0.031153,0.000085,0.000006,0.689670,0.000818,0.000012,0.083156,0.804940
3,0.082114,0.000049,0.000004,0.102752,0.000330,0.000006,0.035071,0.220336
3,0.025589,0.000107,0.000008,0.588874,0.000752,0.000012,0.002150,0.617506
4,0.019556,0.000090,0.000012,0.511313,0.000686,0.000011,0.000443,0.532119
3,0.022268,0.000108,0.000009,1.086155,0.002227,0.000063,0.003526,1.114377
5,0.019132,0.000050,0.000004,0.306982,0.000348,0.000007,0.001864,0.328393
4,0.015661,0.000041,0.000004,0.093162,0.000332,0.000007,0.028138,0.137355
5,0.108426,0.000076,0.000007,0.856943,0.001575,0.000025,0.044142,1.011243
5,0.087988,0.000146,0.000015,0.113755,0.001022,0.000016,0.075488,0.278452
5,0.090283,0.000108,0.000010,0.436738,0.000766,0.000011,0.000547,0.528471
4,0.068990,0.000093,0.000007,0.517729,0.000972,0.000018,0.000744,0.588574
4,0.016512,0.000082,0.000010,0.683523,0.000931,0.000008,0.023186,0.724307
3,0.082263,0.000083,0.000008,0.927771,0.001038,0.000025,0.001114,1.012318
3,0.016516,0.000048,0.000004,0.870149,0.000512,0.000007,0.002524,0.889767
3,0.101519,0.000095,0.000010,0.711961,0.000884,0.000013,0.002465,0.816957
4,0.032139,0.000108,0.000010,0.792702,0.001125,0.000016,0.003098,0.829235
4,0.083756,0.000182,0.000021,0.911275,0.000481,0.000010,0.005279,1.001011
5,0.017577,0.000114,0.000011,0.117324,0.000875,0.000016,0.004091,0.140026
6,0.023560,0.000080,0.000008,0.579545,0.000773,0.000012,0.021246,0.625251
3,0.084716,0.000125,0.000014,1.019707,0.001694,0.000019,0.002298,1.108598
5,0.071397,0.000080,0.000010,0.701297,0.001066,0.000012,0.000511,0.774390
4,0.079209,0.000117,0.000011,0.793188,0.002272,0.000030,0.004910,0.879771
5,0.087662,0.000089,0.000007,0.401625,0.000773,0.000017,0.000733,0.490916
4,0.079882,0.000087,0.000009,0.711206,0.001147,0.000023,0.000949,0.793331
5,0.062709,0.000040,0.000003,0.721272,0.000350,0.000007,0.075805,0.860196
7,0.018584,0.000095,0.000009,0.020284,0.063394,0.000023,0.019746,0.122153
6,0.065224,0.000046,0.000005,0.908077,0.001378,0.000043,0.007422,0.982207
6,0.090081,0.000083,0.000006,0.793421,0.000813,0.000015,0.000754,0.885182
