sample_idx,h5_read,crop_timestamps,pad_timestamps,fill_missing,subset_sample,ndvi,normalize,total
0,0.101735,0.000034,0.000004,0.040317,0.000312,0.000005,0.000311,0.142723
1,0.005998,0.000039,0.000004,0.040668,0.000238,0.000004,0.000149,0.047103
2,0.003556,0.000022,0.000002,0.006210,0.000216,0.000004,0.000140,0.010152
3,0.004313,0.000025,0.000003,0.041393,0.000230,0.000004,0.000161,0.046129
4,0.005391,0.000026,0.000003,0.011772,0.000259,0.000005,0.000180,0.017638
5,0.003696,0.000023,0.000002,0.036273,0.000219,0.000004,0.000153,0.040373
6,0.006088,0.000032,0.000003,0.041546,0.000234,0.000004,0.000160,0.048070
7,0.004994,0.000022,0.000002,0.036976,0.000236,0.000005,0.000142,0.042378
0,0.414230,0.000047,0.000006,0.021923,0.000375,0.000006,0.000826,0.437419
8,0.005997,0.000028,0.000003,0.038584,0.000224,0.000004,0.000151,0.044994
9,0.003826,0.000026,0.000002,0.030571,0.000212,0.000004,0.000136,0.034780
1,0.005389,0.000035,0.000004,0.056998,0.000290,0.000004,0.000601,0.063326
2,0.005488,0.000030,0.000004,0.025451,0.000324,0.000004,0.000657,0.031961
10,0.006467,0.000033,0.000004,0.034340,0.000225,0.000004,0.000154,0.041229
11,0.003815,0.000029,0.000003,0.038009,0.000231,0.000004,0.000144,0.042237
3,0.006047,0.000037,0.000004,0.060532,0.000350,0.000005,0.000755,0.067733
12,0.005631,0.000029,0.000003,0.013693,0.000259,0.000004,0.000160,0.019779
13,0.004766,0.000031,0.000003,0.008123,0.000258,0.000005,0.000198,0.013387
4,0.005840,0.000034,0.000004,0.057281,0.000265,0.000004,0.000577,0.064009
14,0.005067,0.000027,0.000003,0.038958,0.000256,0.000004,0.000157,0.044473
5,0.006027,0.000030,0.000005,0.011966,0.000272,0.000004,0.000610,0.018919
15,0.005750,0.000030,0.000003,0.043687,0.000279,0.000005,0.000172,0.049928
6,0.011382,0.000036,0.000005,0.092218,0.000275,0.000005,0.000642,0.104567
0,0.787874,0.000037,0.000006,0.021225,0.000346,0.000005,0.006420,0.815925
16,0.006353,0.000034,0.000003,0.076315,0.000228,0.000004,0.000155,0.083093
17,0.005508,0.000028,0.000003,0.014059,0.000242,0.000004,0.000153,0.019999
1,0.004859,0.000030,0.000004,0.044838,0.000323,0.000004,0.004341,0.054403
7,0.005745,0.000030,0.000004,0.057327,0.000281,0.000004,0.000609,0.064004
18,0.004031,0.000025,0.000002,0.036985,0.000227,0.000004,0.000144,0.041420
2,0.004972,0.000028,0.000003,0.035265,0.000248,0.000004,0.003687,0.044211
8,0.006262,0.000032,0.000005,0.052774,0.000258,0.000004,0.000597,0.059935
19,0.005976,0.000036,0.000003,0.043972,0.000250,0.000004,0.000156,0.050400
20,0.005842,0.000032,0.000003,0.008459,0.000240,0.000004,0.000166,0.014747
