sample_idx,h5_read,crop_timestamps,pad_timestamps,fill_missing,subset_sample,ndvi,normalize,total
0,0.455017,0.000046,0.000006,0.046969,0.000316,0.000005,0.008858,0.511236
1,0.008148,0.000051,0.000006,0.012988,0.000283,0.000004,0.001049,0.022533
2,0.004292,0.000026,0.000002,0.003712,0.000231,0.000004,0.000966,0.009235
3,0.005109,0.000033,0.000002,0.011452,0.000270,0.000005,0.001095,0.017971
1,0.004480,0.000030,0.000004,0.039415,0.000250,0.000004,0.008083,0.052270
4,0.005347,0.000028,0.000003,0.047384,0.000266,0.000004,0.001152,0.054187
2,0.006746,0.000027,0.000003,0.051968,0.000237,0.000005,0.009212,0.068201
5,0.005139,0.000029,0.000003,0.018806,0.000253,0.000004,0.001176,0.025415
3,0.005560,0.000029,0.000003,0.046508,0.000244,0.000004,0.009877,0.062231
0,0.699433,0.000046,0.000006,0.030062,0.000529,0.000008,0.002277,0.732376
4,0.005095,0.000030,0.000003,0.006726,0.000242,0.000004,0.009801,0.021905
6,0.005388,0.000029,0.000003,0.094303,0.000318,0.000006,0.001536,0.101586
5,0.005003,0.000027,0.000003,0.047128,0.000259,0.000004,0.009052,0.061484
6,0.004835,0.000032,0.000003,0.007806,0.000267,0.000004,0.008898,0.021849
1,0.006797,0.000034,0.000004,0.082332,0.000349,0.000007,0.001814,0.091343
7,0.006174,0.000036,0.000003,0.082591,0.000321,0.000008,0.001422,0.090560
7,0.005423,0.000031,0.000003,0.046129,0.000249,0.000004,0.009208,0.061052
8,0.004803,0.000030,0.000003,0.012480,0.000284,0.000004,0.010153,0.027763
2,0.006114,0.000036,0.000004,0.080488,0.000304,0.000007,0.001960,0.088918
9,0.005763,0.000031,0.000003,0.012900,0.000270,0.000004,0.009827,0.028804
8,0.006491,0.000035,0.000003,0.082014,0.000333,0.000006,0.001581,0.090468
3,0.006673,0.000034,0.000004,0.086891,0.000315,0.000007,0.002150,0.096079
10,0.005665,0.000031,0.000004,0.051956,0.000236,0.000004,0.008970,0.066870
0,1.001495,0.000045,0.000006,0.035134,0.000605,0.000008,0.000518,1.037823
9,0.006795,0.000037,0.000003,0.080557,0.000340,0.000006,0.001644,0.089388
4,0.007423,0.000036,0.000004,0.019523,0.000283,0.000004,0.002153,0.029432
10,0.007083,0.000036,0.000004,0.024136,0.000295,0.000005,0.001254,0.032817
1,0.005853,0.000041,0.000006,0.046852,0.000273,0.000005,0.000150,0.053183
11,0.005481,0.000030,0.000003,0.068189,0.000258,0.000004,0.008979,0.082950
5,0.007419,0.000032,0.000003,0.049618,0.000256,0.000004,0.001444,0.058780
2,0.006076,0.000029,0.000003,0.014668,0.000283,0.000004,0.000174,0.021239
11,0.005920,0.000032,0.000004,0.049006,0.000240,0.000005,0.001139,0.056351
12,0.004694,0.000027,0.000003,0.053636,0.000273,0.000003,0.010886,0.069527
6,0.005439,0.000029,0.000003,0.052814,0.000260,0.000004,0.001697,0.060253
3,0.004799,0.000032,0.000003,0.054551,0.000279,0.000005,0.000165,0.059836
12,0.005843,0.000036,0.000003,0.064727,0.000393,0.000008,0.002437,0.073458
4,0.007310,0.000032,0.000004,0.025540,0.000318,0.000005,0.000174,0.033385
13,0.005493,0.000035,0.000003,0.061080,0.000286,0.000004,0.010346,0.077251
7,0.006811,0.000038,0.000003,0.066764,0.000340,0.000009,0.002320,0.076288
5,0.006730,0.000037,0.000003,0.043155,0.000263,0.000004,0.000157,0.050351
13,0.006443,0.000032,0.000003,0.057530,0.000248,0.000005,0.001157,0.065421
8,0.007924,0.000034,0.000004,0.027313,0.000277,0.000004,0.001666,0.037227
14,0.005433,0.000029,0.000002,0.017361,0.000282,0.000005,0.001239,0.024357
0,1.296556,0.000042,0.000007,0.015580,0.000426,0.000007,0.002897,1.315529
9,0.007804,0.000031,0.000003,0.018186,0.000297,0.000005,0.001651,0.027982
14,0.006572,0.000029,0.000003,0.056111,0.000314,0.000005,0.011555,0.074595
6,0.005512,0.000030,0.000003,0.059218,0.000274,0.000004,0.000176,0.065219
15,0.005424,0.000030,0.000003,0.054165,0.000254,0.000005,0.001161,0.061046
15,0.010242,0.000046,0.000004,0.017756,0.000391,0.000007,0.011177,0.039629
1,0.004959,0.000029,0.000004,0.065189,0.000294,0.000004,0.001740,0.072224
10,0.006301,0.000048,0.000004,0.061737,0.000268,0.000004,0.001508,0.069875
2,0.004914,0.000031,0.000004,0.005960,0.000233,0.000004,0.001781,0.012931
7,0.005703,0.000026,0.000003,0.052359,0.000278,0.000005,0.000163,0.058539
8,0.005197,0.000030,0.000004,0.016288,0.000249,0.000005,0.000158,0.021931
