sample_idx,h5_read,crop_timestamps,pad_timestamps,fill_missing,subset_sample,ndvi,normalize,total,cache_hit
0,0.021910,0.000038,0.000006,0.020785,0.000370,0.000005,0.000718,0.043844,0
0,0.021365,0.000053,0.000007,0.046188,0.000543,0.000006,0.003983,0.072164,0
0,0.023302,0.000047,0.000007,0.054714,0.000416,0.000005,0.000352,0.078849,0
0,0.024398,0.000052,0.000008,0.053333,0.000406,0.000005,0.000419,0.078627,0
0,0.028628,0.000069,0.000008,0.041699,0.000493,0.000009,0.011599,0.082517,0
0,0.028641,0.000081,0.000012,0.045708,0.000531,0.000009,0.021139,0.096136,0
1,0.011788,0.000049,0.000005,0.062737,0.000358,0.000004,0.000768,0.075713,0
1,0.011252,0.000039,0.000004,0.062462,0.000348,0.000005,0.000602,0.074717,0
0,0.017115,0.000043,0.000007,0.127646,0.000754,0.000012,0.000921,0.146545,0
1,0.010723,0.000036,0.000004,0.056153,0.000323,0.000004,0.000323,0.067571,0
1,0.011224,0.000039,0.000004,0.065615,0.000407,0.000005,0.000189,0.077486,0
0,0.022356,0.000047,0.000008,0.140494,0.000736,0.000013,0.006979,0.170662,0
2,0.012712,0.000033,0.000003,0.023391,0.000325,0.000004,0.000665,0.037137,0
0,0.022930,0.000051,0.000007,0.147019,0.000625,0.000014,0.003417,0.174076,0
0,0.024788,0.000041,0.000007,0.152815,0.000863,0.000017,0.000847,0.179390,0
2,0.010524,0.000032,0.000003,0.009364,0.000289,0.000004,0.000166,0.020383,0
0,0.030156,0.000060,0.000009,0.145618,0.001385,0.000029,0.004737,0.182027,0
0,0.026534,0.000060,0.000009,0.163913,0.000698,0.000011,0.000693,0.191930,0
0,0.025571,0.000085,0.000013,0.161546,0.001379,0.000034,0.003041,0.191689,0
2,0.012223,0.000031,0.000003,0.050484,0.000267,0.000004,0.000570,0.063585,0
0,0.026512,0.000069,0.000012,0.181197,0.000892,0.000019,0.001731,0.210454,0
0,0.031281,0.000078,0.000012,0.179971,0.000701,0.000010,0.003547,0.215619,0
2,0.010907,0.000030,0.000004,0.060920,0.000360,0.000004,0.000310,0.072536,0
3,0.011794,0.000035,0.000003,0.058044,0.000333,0.000005,0.000651,0.070867,0
3,0.009206,0.000036,0.000003,0.066218,0.000318,0.000004,0.000191,0.075979,0
3,0.010962,0.000036,0.000004,0.060965,0.000285,0.000004,0.000604,0.072863,0
1,0.016375,0.000062,0.000005,0.184670,0.000569,0.000010,0.005749,0.207454,0
4,0.013409,0.000034,0.000003,0.015308,0.000338,0.000004,0.000174,0.029273,0
1,0.016205,0.000066,0.000006,0.150743,0.000526,0.000010,0.023162,0.190732,0
3,0.012747,0.000035,0.000002,0.052177,0.000303,0.000004,0.000293,0.065565,0
1,0.022011,0.000063,0.000009,0.054214,0.000494,0.000008,0.002712,0.079521,0
1,0.016415,0.000055,0.000007,0.186280,0.000591,0.000012,0.030032,0.233404,0
4,0.016352,0.000033,0.000004,0.054209,0.000302,0.000004,0.000579,0.071489,0
1,0.015358,0.000056,0.000006,0.174843,0.000415,0.000006,0.000568,0.191256,0
4,0.010275,0.000037,0.000004,0.057174,0.000300,0.000004,0.000589,0.068387,0
1,0.013208,0.000054,0.000007,0.142131,0.000482,0.000024,0.000388,0.156300,0
5,0.013059,0.000035,0.000003,0.011879,0.000285,0.000004,0.000556,0.025835,0
1,0.018187,0.000073,0.000008,0.156375,0.000471,0.000007,0.000375,0.175503,0
5,0.007819,0.000029,0.000002,0.060936,0.000270,0.000004,0.000160,0.069222,0
4,0.012238,0.000038,0.000003,0.062780,0.000352,0.000004,0.000287,0.075705,0
1,0.021575,0.000075,0.000009,0.148354,0.000578,0.000014,0.001529,0.172150,0
1,0.023357,0.000108,0.000012,0.185490,0.000475,0.000009,0.004515,0.213977,0
1,0.016701,0.000066,0.000008,0.184264,0.000521,0.000010,0.000869,0.202447,0
1,0.014823,0.000048,0.000007,0.192512,0.000563,0.000010,0.003510,0.211484,0
1,0.014692,0.000050,0.000006,0.197354,0.000650,0.000018,0.002776,0.215559,0
5,0.009230,0.000033,0.000004,0.058990,0.000297,0.000004,0.000540,0.069100,0
2,0.022898,0.000048,0.000006,0.057924,0.000355,0.000007,0.000448,0.081691,0
6,0.008427,0.000033,0.000003,0.061773,0.000304,0.000004,0.000616,0.071163,0
6,0.013839,0.000034,0.000003,0.061628,0.000338,0.000006,0.000204,0.076055,0
5,0.014206,0.000037,0.000003,0.066489,0.000327,0.000004,0.000285,0.081356,0
6,0.018303,0.000031,0.000003,0.016515,0.000329,0.000006,0.000567,0.035757,0
2,0.023667,0.000057,0.000007,0.040343,0.000469,0.000010,0.001651,0.066213,0
6,0.011363,0.000031,0.000003,0.009153,0.000292,0.000004,0.000267,0.021117,0
2,0.014382,0.000050,0.000008,0.167369,0.000490,0.000008,0.005638,0.187958,0
2,0.022472,0.000048,0.000005,0.137548,0.000622,0.000011,0.010741,0.171457,0
2,0.019211,0.000060,0.000008,0.194698,0.000455,0.000009,0.004815,0.219267,0
7,0.011570,0.000046,0.000003,0.056129,0.000336,0.000005,0.000654,0.068745,0
2,0.013516,0.000048,0.000007,0.180813,0.000470,0.000007,0.023129,0.218000,0
7,0.011100,0.000028,0.000002,0.059980,0.000247,0.000004,0.000175,0.071539,0
7,0.007846,0.000032,0.000003,0.073009,0.000314,0.000005,0.000592,0.081809,0
3,0.014755,0.000059,0.000006,0.052783,0.000484,0.000009,0.001454,0.069558,0
7,0.007797,0.000032,0.000003,0.063491,0.000309,0.000004,0.000271,0.071909,0
2,0.019818,0.000053,0.000005,0.182246,0.000568,0.000014,0.000555,0.203268,0
2,0.029899,0.000050,0.000006,0.187106,0.000938,0.000027,0.000625,0.218664,0
8,0.010841,0.000025,0.000002,0.062259,0.000366,0.000006,0.000665,0.074170,0
8,0.013989,0.000038,0.000004,0.059853,0.000280,0.000004,0.000170,0.074339,0
3,0.023709,0.000051,0.000004,0.144433,0.000499,0.000011,0.000755,0.169471,0
2,0.024920,0.000058,0.000005,0.186903,0.000459,0.000008,0.001228,0.213587,0
2,0.023449,0.000045,0.000004,0.187668,0.000445,0.000012,0.000976,0.212609,0
2,0.017255,0.000049,0.000004,0.194671,0.000915,0.000041,0.008362,0.221311,0
9,0.011561,0.000032,0.000003,0.017237,0.000307,0.000004,0.000618,0.029765,0
8,0.012497,0.000036,0.000003,0.065285,0.000310,0.000004,0.000275,0.078414,0
2,0.020870,0.000057,0.000007,0.222880,0.000547,0.000011,0.003988,0.248371,0
9,0.009309,0.000030,0.000003,0.049514,0.000261,0.000004,0.000157,0.059281,0
10,0.016447,0.000032,0.000002,0.016803,0.000282,0.000005,0.000656,0.034231,0
8,0.023474,0.000074,0.000006,0.076346,0.000284,0.000004,0.000754,0.100947,0
3,0.015085,0.000044,0.000007,0.152600,0.000438,0.000007,0.002915,0.171104,0
11,0.009185,0.000032,0.000004,0.008019,0.000335,0.000004,0.000614,0.018196,0
3,0.041040,0.000053,0.000006,0.107683,0.000366,0.000008,0.016184,0.165348,0
3,0.015947,0.000029,0.000003,0.161065,0.000444,0.000008,0.005259,0.182767,0
9,0.012818,0.000035,0.000003,0.056442,0.000334,0.000004,0.000276,0.069914,0
9,0.010943,0.000035,0.000004,0.051268,0.000285,0.000004,0.000580,0.063122,0
10,0.013064,0.000033,0.000005,0.062693,0.000411,0.000007,0.000275,0.076491,0
3,0.021722,0.000046,0.000006,0.100928,0.000390,0.000006,0.000750,0.123855,0
12,0.009060,0.000031,0.000003,0.057113,0.000435,0.000007,0.000942,0.067596,0
3,0.017214,0.000091,0.000011,0.213905,0.000528,0.000010,0.010915,0.242682,0
4,0.026452,0.000084,0.000010,0.162186,0.000767,0.000018,0.002400,0.191928,0
4,0.021197,0.000070,0.000012,0.057128,0.000663,0.000014,0.003643,0.082739,0
10,0.021172,0.000031,0.000003,0.018635,0.000314,0.000004,0.000305,0.040468,0
3,0.019632,0.000052,0.000005,0.172350,0.000457,0.000010,0.000407,0.192920,0
13,0.010910,0.000029,0.000002,0.010618,0.000328,0.000004,0.000600,0.022496,0
10,0.015340,0.000035,0.000004,0.058493,0.000314,0.000004,0.000598,0.074791,0
11,0.011033,0.000029,0.000003,0.056856,0.000312,0.000004,0.000169,0.068409,0
4,0.015110,0.000038,0.000003,0.179317,0.000366,0.000009,0.000431,0.195278,0
3,0.018124,0.000063,0.000006,0.166233,0.000455,0.000008,0.004410,0.189307,0
11,0.008587,0.000033,0.000006,0.044227,0.000303,0.000004,0.000274,0.053437,0
5,0.022369,0.000053,0.000006,0.036084,0.000434,0.000008,0.001566,0.060529,0
5,0.022370,0.000055,0.000008,0.035602,0.000524,0.000010,0.017245,0.075830,0
3,0.028895,0.000070,0.000006,0.200025,0.000519,0.000011,0.001286,0.230819,0
14,0.007789,0.000029,0.000003,0.061898,0.000389,0.000005,0.000768,0.070886,0
12,0.012972,0.000032,0.000003,0.026405,0.000314,0.000005,0.000200,0.039933,0
4,0.027206,0.000045,0.000004,0.057117,0.000466,0.000012,0.000431,0.085289,0
5,0.018172,0.000041,0.000004,0.017564,0.000769,0.000014,0.000732,0.037302,0
12,0.011254,0.000027,0.000002,0.027006,0.000310,0.000004,0.000280,0.038886,0
4,0.017698,0.000043,0.000005,0.107671,0.000375,0.000005,0.000742,0.126547,0
15,0.013373,0.000030,0.000003,0.010286,0.000298,0.000004,0.000640,0.024637,0
6,0.033325,0.000050,0.000004,0.024442,0.000524,0.000013,0.001830,0.060196,0
4,0.011608,0.000041,0.000006,0.151033,0.000486,0.000008,0.028377,0.191574,0
13,0.016249,0.000033,0.000002,0.012974,0.000324,0.000004,0.000201,0.029790,0
13,0.011434,0.000032,0.000003,0.015913,0.000318,0.000004,0.000290,0.027998,0
4,0.027614,0.000056,0.000006,0.039330,0.000456,0.000009,0.004282,0.071760,0
6,0.021676,0.000071,0.000011,0.021204,0.000431,0.000007,0.003018,0.046428,0
3,0.018391,0.000054,0.000005,0.216283,0.000838,0.000016,0.005754,0.241354,0
11,0.012159,0.000037,0.000004,0.074524,0.000377,0.000005,0.000668,0.087782,0
16,0.008866,0.000031,0.000003,0.007964,0.000275,0.000004,0.000626,0.017774,0
4,0.018467,0.000059,0.000007,0.181581,0.000477,0.000010,0.005748,0.206357,0
7,0.011803,0.000052,0.000007,0.016826,0.000472,0.000008,0.002649,0.031828,0
14,0.007986,0.000036,0.000004,0.058580,0.000378,0.000004,0.000382,0.067375,0
4,0.019121,0.000052,0.000005,0.171199,0.000500,0.000011,0.012646,0.203547,0
3,0.016574,0.000045,0.000004,0.348106,0.001352,0.000014,0.000570,0.366675,0
14,0.009441,0.000034,0.000004,0.069581,0.000302,0.000005,0.000174,0.079542,0
17,0.008903,0.000033,0.000003,0.058167,0.000276,0.000004,0.000628,0.068017,0
12,0.012501,0.000036,0.000005,0.062359,0.000290,0.000004,0.000679,0.075878,0
5,0.015363,0.000066,0.000005,0.119148,0.000402,0.000006,0.000730,0.135726,0
15,0.014673,0.000035,0.000004,0.044109,0.000307,0.000004,0.000318,0.059455,0
5,0.018134,0.000053,0.000004,0.165711,0.000548,0.000011,0.000574,0.185044,0
15,0.012511,0.000037,0.000003,0.067977,0.000275,0.000004,0.000189,0.080999,0
13,0.012045,0.000030,0.000003,0.060694,0.000328,0.000006,0.000760,0.073870,0
7,0.011572,0.000044,0.000004,0.153329,0.000461,0.000012,0.001608,0.167039,0
6,0.014557,0.000050,0.000006,0.181447,0.000703,0.000017,0.001379,0.198168,0
4,0.019700,0.000048,0.000005,0.183704,0.000987,0.000018,0.002777,0.207250,0
18,0.012545,0.000032,0.000003,0.074670,0.000300,0.000004,0.000613,0.088172,0
16,0.009382,0.000025,0.000003,0.058081,0.000309,0.000004,0.000291,0.068099,0
5,0.018939,0.000052,0.000005,0.028507,0.000748,0.000011,0.002083,0.050355,0
5,0.017097,0.000052,0.000004,0.196520,0.000484,0.000011,0.004218,0.218396,0
6,0.021514,0.000052,0.000005,0.052850,0.000483,0.000010,0.000467,0.075391,0
17,0.011393,0.000032,0.000004,0.016354,0.000325,0.000004,0.000284,0.028398,0
14,0.011721,0.000033,0.000004,0.054206,0.000304,0.000004,0.000639,0.066928,0
5,0.020594,0.000077,0.000009,0.191369,0.000494,0.000009,0.023896,0.236461,0
16,0.011516,0.000035,0.000003,0.060619,0.000295,0.000004,0.000170,0.072646,0
19,0.010879,0.000032,0.000003,0.050862,0.000282,0.000004,0.000600,0.062664,0
5,0.028614,0.000056,0.000006,0.179398,0.000507,0.000009,0.005224,0.213825,0
6,0.015521,0.000038,0.000004,0.099573,0.000434,0.000008,0.008955,0.124544,0
4,0.021801,0.000058,0.000005,0.207670,0.000561,0.000016,0.011444,0.241567,0
8,0.020832,0.000052,0.000009,0.201487,0.000542,0.000011,0.002682,0.225625,0
17,0.016640,0.000030,0.000003,0.019769,0.000268,0.000004,0.000215,0.036931,0
4,0.024028,0.000052,0.000006,0.190558,0.000666,0.000010,0.000480,0.215808,0
18,0.017832,0.000044,0.000005,0.048183,0.000301,0.000004,0.000286,0.066659,0
20,0.010383,0.000033,0.000004,0.052627,0.000267,0.000004,0.000582,0.063901,0
15,0.010342,0.000035,0.000003,0.056394,0.000354,0.000004,0.000605,0.067741,0
5,0.018893,0.000053,0.000005,0.199914,0.000510,0.000011,0.013224,0.232622,0
8,0.018055,0.000050,0.000004,0.134651,0.000535,0.000011,0.001526,0.154844,0
21,0.011631,0.000034,0.000003,0.010684,0.000271,0.000004,0.000610,0.023240,0
6,0.032672,0.000064,0.000006,0.035280,0.000490,0.000009,0.025376,0.093909,0
18,0.010155,0.000035,0.000003,0.062527,0.000269,0.000004,0.000172,0.073168,0
7,0.035575,0.000058,0.000005,0.166336,0.000537,0.000022,0.000809,0.203348,0
16,0.011335,0.000033,0.000003,0.060052,0.000340,0.000004,0.000620,0.072390,0
19,0.010685,0.000037,0.000004,0.066694,0.000309,0.000004,0.000285,0.078021,0
6,0.020779,0.000054,0.000004,0.038922,0.000550,0.000012,0.020013,0.080346,0
7,0.018969,0.000043,0.000004,0.123724,0.000438,0.000007,0.000745,0.143937,0
22,0.010759,0.000045,0.000004,0.058332,0.000303,0.000004,0.000695,0.070145,0
19,0.013477,0.000035,0.000003,0.060202,0.000325,0.000004,0.000183,0.074230,0
7,0.014928,0.000048,0.000004,0.184240,0.000799,0.000014,0.000565,0.200605,0
5,0.027449,0.000090,0.000010,0.157056,0.000477,0.000011,0.011580,0.196683,0
20,0.011614,0.000034,0.000004,0.057641,0.000361,0.000005,0.000331,0.069993,0
20,0.011892,0.000029,0.000003,0.014720,0.000331,0.000005,0.000205,0.027186,0
17,0.011584,0.000031,0.000003,0.064261,0.000336,0.000005,0.000662,0.076886,0
6,0.015802,0.000029,0.000002,0.227062,0.000486,0.000024,0.001050,0.244465,0
6,0.029166,0.000060,0.000005,0.211316,0.000514,0.000008,0.004317,0.245398,0
23,0.011003,0.000032,0.000003,0.065782,0.000281,0.000004,0.000598,0.077707,0
9,0.016361,0.000055,0.000009,0.198730,0.000554,0.000008,0.002527,0.218256,0
6,0.026928,0.000061,0.000006,0.215136,0.000596,0.000013,0.006990,0.249740,0
21,0.011923,0.000036,0.000004,0.021792,0.000364,0.000004,0.000273,0.034399,0
8,0.027678,0.000050,0.000005,0.041703,0.000476,0.000009,0.000445,0.070373,0
9,0.015921,0.000029,0.000003,0.166857,0.000484,0.000008,0.001554,0.184863,0
5,0.018236,0.000070,0.000008,0.209502,0.000771,0.000012,0.000521,0.229129,0
21,0.008952,0.000033,0.000003,0.055334,0.000312,0.000005,0.000181,0.064822,0
18,0.012243,0.000035,0.000003,0.061280,0.000359,0.000004,0.000591,0.074517,0
10,0.017734,0.000059,0.000009,0.041766,0.000508,0.000012,0.002982,0.063077,0
24,0.011906,0.000031,0.000003,0.055502,0.000342,0.000004,0.000653,0.068444,0
6,0.019770,0.000075,0.000005,0.082596,0.000638,0.000010,0.003533,0.106650,0
