sample_idx,h5_read,crop_timestamps,pad_timestamps,fill_missing,subset_sample,ndvi,normalize,total
0,3.634418,0.000039,0.000005,0.022980,0.000307,0.000005,0.000549,3.658307
0,3.186269,0.000043,0.000005,0.010706,0.000344,0.000004,0.004184,3.201563
0,5.542341,0.000030,0.000004,0.023682,0.000286,0.000004,0.002066,5.568417
0,4.789467,0.000047,0.000005,0.016240,0.000322,0.000005,0.002053,4.808142
0,4.310686,0.000030,0.000004,0.025377,0.000294,0.000005,0.000394,4.336796
0,2.321452,0.000034,0.000004,0.022680,0.000293,0.000005,0.000278,2.344748
0,2.916001,0.000035,0.000004,0.011732,0.000285,0.000004,0.000611,2.928676
0,6.264553,0.000036,0.000004,0.011688,0.000280,0.000004,0.000583,6.277152
0,6.299516,0.000041,0.000006,0.027064,0.000365,0.000005,0.000332,6.327334
0,6.903078,0.000038,0.000006,0.021220,0.000312,0.000005,0.000347,6.925009
0,7.120080,0.000049,0.000005,0.024574,0.000375,0.000005,0.000686,7.145782
0,7.158144,0.000041,0.000005,0.021633,0.000321,0.000005,0.001438,7.181590
0,7.175904,0.000041,0.000007,0.020541,0.000322,0.000005,0.000349,7.197171
0,7.331436,0.000034,0.000005,0.026658,0.000287,0.000005,0.000772,7.359200
1,0.008883,0.000041,0.000004,0.031114,0.000462,0.000007,0.003941,0.044468
1,0.010975,0.000058,0.000006,0.037511,0.000989,0.000017,0.000413,0.049979
1,0.009467,0.000055,0.000005,0.051178,0.000776,0.000014,0.000849,0.062359
2,0.062837,0.000071,0.000004,0.094020,0.000571,0.000011,0.000437,0.157956
1,0.005445,0.000043,0.000003,0.232120,0.000550,0.000011,0.013970,0.252158
1,0.008580,0.000070,0.000007,0.260610,0.000495,0.000008,0.000949,0.270730
1,0.011315,0.000054,0.000006,0.253101,0.000547,0.000007,0.005718,0.270765
1,0.010313,0.000064,0.000008,0.258996,0.000827,0.000028,0.002733,0.272980
0,7.588070,0.000095,0.000013,0.109145,0.000678,0.000011,0.074648,7.772681
1,0.010608,0.000052,0.000006,0.321144,0.000549,0.000010,0.001291,0.333669
1,0.023673,0.000111,0.000011,0.301150,0.000593,0.000012,0.002046,0.327607
1,0.009981,0.000068,0.000006,0.324473,0.000819,0.000013,0.002282,0.337658
1,0.012972,0.000077,0.000010,0.346378,0.001054,0.000029,0.001219,0.361754
2,0.011138,0.000058,0.000005,0.292924,0.000662,0.000014,0.007678,0.312496
1,0.011304,0.000094,0.000008,0.342403,0.000611,0.000013,0.004120,0.358571
1,0.014682,0.000070,0.000005,0.354877,0.000513,0.000008,0.000305,0.370465
2,0.013956,0.000052,0.000006,0.361379,0.000759,0.000021,0.000455,0.376636
1,0.011488,0.000058,0.000005,0.417450,0.000570,0.000014,0.000642,0.430233
0,7.502087,0.000093,0.000012,0.375629,0.000889,0.000013,0.003415,7.882161
2,0.062243,0.000070,0.000011,0.017851,0.000418,0.000008,0.002920,0.083531
2,0.017114,0.000088,0.000007,0.164468,0.001072,0.000021,0.003573,0.186361
3,0.009882,0.000058,0.000005,0.095805,0.000479,0.000008,0.000281,0.106520
1,0.011261,0.000063,0.000006,0.089974,0.000504,0.000009,0.003136,0.104966
3,0.010165,0.000066,0.000005,0.302544,0.000440,0.000008,0.000423,0.313655
2,0.011665,0.000114,0.000006,0.124694,0.000731,0.000017,0.001041,0.138281
2,0.058455,0.000055,0.000005,0.315873,0.000500,0.000008,0.000934,0.375841
2,0.014202,0.000062,0.000006,0.288059,0.000473,0.000010,0.001684,0.304504
2,0.007869,0.000025,0.000003,0.380981,0.000483,0.000008,0.005022,0.394401
2,0.011651,0.000089,0.000007,0.389534,0.000416,0.000005,0.015816,0.417529
2,0.015782,0.000061,0.000006,0.322035,0.000609,0.000009,0.001783,0.340296
2,0.010469,0.000060,0.000007,0.377134,0.000429,0.000007,0.001074,0.389189
3,0.010456,0.000056,0.000006,0.074755,0.001062,0.000032,0.002140,0.088524
3,0.064685,0.000090,0.000008,0.337266,0.000844,0.000011,0.055603,0.458522
4,0.011377,0.000061,0.000005,0.081030,0.000458,0.000009,0.000948,0.093898
3,0.010330,0.000053,0.000006,0.292823,0.000978,0.000027,0.003285,0.307519
2,0.012999,0.000062,0.000004,0.393112,0.000543,0.000010,0.000570,0.407307
2,0.059886,0.000063,0.000006,0.419881,0.000559,0.000010,0.000627,0.481043
4,0.009961,0.000056,0.000006,0.299509,0.001005,0.000021,0.000505,0.311074
3,0.064158,0.000079,0.000012,0.109198,0.000508,0.000009,0.014275,0.188252
3,0.072932,0.000116,0.000012,0.121961,0.000758,0.000014,0.007083,0.202886
4,0.011108,0.000049,0.000005,0.023618,0.000504,0.000011,0.060580,0.095890
1,0.026983,0.000169,0.000017,0.492917,0.000603,0.000014,0.079182,0.599905
3,0.010784,0.000070,0.000005,0.470253,0.000632,0.000014,0.003571,0.485338
5,0.064107,0.000058,0.000005,0.020978,0.000429,0.000008,0.000319,0.085908
3,0.008662,0.000079,0.000005,0.295774,0.000560,0.000012,0.001547,0.306648
2,0.010125,0.000052,0.000004,0.390320,0.000501,0.000009,0.002800,0.403820
3,0.062010,0.000050,0.000004,0.327331,0.000629,0.000013,0.000451,0.390496
4,0.066579,0.000059,0.000006,0.337499,0.000480,0.000008,0.000524,0.405163
6,0.010058,0.000052,0.000004,0.082816,0.000491,0.000008,0.000300,0.093733
4,0.013059,0.000066,0.000007,0.068026,0.000655,0.000017,0.002656,0.084497
3,0.020638,0.000054,0.000006,0.182683,0.000540,0.000013,0.000661,0.204602
3,0.062838,0.000062,0.000005,0.324280,0.000511,0.000012,0.001333,0.389052
3,0.010774,0.000060,0.000009,0.319085,0.000594,0.000013,0.001168,0.331709
5,0.010623,0.000082,0.000004,0.018315,0.000234,0.000004,0.000648,0.029913
4,0.068921,0.000067,0.000005,0.023046,0.000482,0.000011,0.001749,0.094289
5,0.009856,0.000078,0.000005,0.328947,0.000495,0.000008,0.000924,0.340319
3,0.013027,0.000059,0.000005,0.375177,0.000503,0.000009,0.000689,0.389476
4,0.019427,0.000050,0.000004,0.379697,0.000385,0.000006,0.001010,0.400586
5,0.057819,0.000055,0.000004,0.244881,0.000650,0.000009,0.000571,0.303999
5,0.015655,0.000057,0.000005,0.325424,0.000561,0.000007,0.052700,0.394423
2,0.015979,0.000081,0.000009,0.309260,0.000506,0.000008,0.071341,0.397195
4,0.064620,0.000055,0.000004,0.346683,0.048677,0.000009,0.013348,0.473412
4,0.029875,0.000083,0.000006,0.372548,0.000885,0.000014,0.008047,0.411473
4,0.066193,0.000081,0.000009,0.312062,0.000517,0.000007,0.000347,0.379220
3,0.065023,0.000051,0.000005,0.315340,0.000490,0.000011,0.003173,0.384102
4,0.018438,0.000064,0.000007,0.383190,0.000678,0.000011,0.003899,0.406295
7,0.010506,0.000056,0.000004,0.307499,0.001014,0.000025,0.000697,0.319813
