sample_idx,h5_read,crop_timestamps,pad_timestamps,fill_missing,subset_sample,ndvi,normalize,total,cache_hit
0,0.021392,0.000045,0.000006,0.007027,0.000380,0.000005,0.001678,0.030542,0
0,0.025057,0.000047,0.000006,0.012307,0.000419,0.000006,0.001244,0.039098,0
0,0.020707,0.000041,0.000006,0.020749,0.000397,0.000005,0.004569,0.046490,0
0,0.027904,0.000049,0.000008,0.013847,0.000359,0.000005,0.002888,0.045066,0
0,0.022945,0.000047,0.000007,0.047627,0.000396,0.000005,0.000368,0.071403,0
1,0.012431,0.000036,0.000005,0.015122,0.000332,0.000004,0.004118,0.032055,0
0,0.015971,0.000037,0.000007,0.062960,0.000398,0.000006,0.000983,0.080371,0
0,0.023150,0.000037,0.000006,0.067863,0.000444,0.000006,0.000335,0.091850,0
1,0.009450,0.000044,0.000004,0.043245,0.000291,0.000005,0.001757,0.054799,0
0,0.023937,0.000065,0.000015,0.066380,0.000460,0.000007,0.001176,0.092067,0
1,0.008739,0.000033,0.000003,0.012772,0.000294,0.000004,0.000193,0.022040,0
0,0.025443,0.000047,0.000007,0.066944,0.000463,0.000006,0.008967,0.101894,0
0,0.019318,0.000048,0.000008,0.090901,0.000519,0.000009,0.001216,0.112031,0
0,0.021195,0.000053,0.000015,0.086383,0.000405,0.000006,0.010731,0.118806,0
2,0.006939,0.000030,0.000003,0.012833,0.000285,0.000005,0.000233,0.020329,0
2,0.008546,0.000032,0.000004,0.026561,0.000317,0.000004,0.004107,0.039575,0
0,0.018211,0.000048,0.000009,0.105112,0.000473,0.000009,0.002107,0.125987,0
1,0.010118,0.000043,0.000005,0.071265,0.000277,0.000005,0.001031,0.082748,0
0,0.019798,0.000050,0.000008,0.108711,0.000565,0.000011,0.000548,0.129702,0
1,0.010912,0.000042,0.000003,0.066979,0.000309,0.000004,0.002482,0.080737,0
0,0.019894,0.000047,0.000008,0.114709,0.000501,0.000010,0.002817,0.138001,0
0,0.022852,0.000050,0.000007,0.095837,0.000579,0.000010,0.018793,0.138153,0
0,0.022803,0.000056,0.000009,0.109475,0.000454,0.000005,0.007700,0.140519,0
1,0.012506,0.000045,0.000005,0.012628,0.004961,0.000008,0.000725,0.030886,0
3,0.011490,0.000030,0.000004,0.013345,0.000293,0.000005,0.004205,0.029376,0
2,0.011412,0.000030,0.000002,0.047879,0.000267,0.000004,0.001652,0.061250,0
1,0.010874,0.000038,0.000004,0.014862,0.000306,0.000004,0.009122,0.035219,0
1,0.010408,0.000035,0.000004,0.020036,0.000321,0.000004,0.001712,0.032526,0
2,0.008774,0.000031,0.000003,0.007012,0.000311,0.000005,0.000582,0.016722,0
