sample_idx,h5_read,crop_timestamps,pad_timestamps,fill_missing,subset_sample,ndvi,normalize,total
0,0.200551,0.000042,0.000006,0.063061,0.000339,0.000006,0.000328,0.264337
1,0.010084,0.000031,0.000004,0.049589,0.000253,0.000005,0.000166,0.060134
2,0.004326,0.000025,0.000003,0.008764,0.000238,0.000004,0.000149,0.013510
0,0.397501,0.000038,0.000005,0.021503,0.000497,0.000009,0.001180,0.420742
3,0.005465,0.000028,0.000003,0.055072,0.000252,0.000004,0.000175,0.061002
4,0.007075,0.000029,0.000003,0.015457,0.000302,0.000004,0.000167,0.023039
1,0.006505,0.000040,0.000005,0.059089,0.000260,0.000004,0.000571,0.066478
5,0.004523,0.000026,0.000003,0.047048,0.000231,0.000005,0.000147,0.051986
2,0.007164,0.000032,0.000003,0.025705,0.000270,0.000005,0.000628,0.033811
6,0.006640,0.000029,0.000003,0.053887,0.000270,0.000004,0.000162,0.060998
3,0.006391,0.000026,0.000003,0.045625,0.000265,0.000004,0.000590,0.052907
7,0.005140,0.000026,0.000003,0.047421,0.000241,0.000004,0.000153,0.052991
4,0.005351,0.000028,0.000003,0.047025,0.000243,0.000004,0.000515,0.053173
5,0.005388,0.000028,0.000003,0.010161,0.000249,0.000004,0.000523,0.016359
8,0.006240,0.000030,0.000004,0.051164,0.000248,0.000005,0.000171,0.057863
6,0.004761,0.000028,0.000002,0.051450,0.000238,0.000004,0.000614,0.057102
0,0.708544,0.000057,0.000009,0.013292,0.000357,0.000005,0.004544,0.726817
9,0.005173,0.000033,0.000004,0.047546,0.000230,0.000004,0.000149,0.053141
1,0.004632,0.000029,0.000003,0.029322,0.000291,0.000004,0.003903,0.038191
7,0.006005,0.000030,0.000003,0.054112,0.000301,0.000005,0.000606,0.061067
2,0.004975,0.000026,0.000003,0.021973,0.000265,0.000005,0.003197,0.030450
10,0.006968,0.000034,0.000004,0.055383,0.000241,0.000004,0.000168,0.062802
8,0.004684,0.000026,0.000003,0.057790,0.000261,0.000004,0.000522,0.063294
3,0.010281,0.000043,0.000004,0.029308,0.000271,0.000004,0.003771,0.043689
9,0.004399,0.000030,0.000003,0.009515,0.000225,0.000004,0.000527,0.014706
11,0.006490,0.000041,0.000004,0.057757,0.000265,0.000004,0.000152,0.064715
10,0.004880,0.000030,0.000003,0.009828,0.000245,0.000004,0.000567,0.015561
4,0.005906,0.000026,0.000002,0.023561,0.000252,0.000004,0.003642,0.033400
11,0.004878,0.000031,0.000003,0.006385,0.000280,0.000005,0.000663,0.012249
12,0.006488,0.000031,0.000004,0.015762,0.000246,0.000004,0.000162,0.022699
13,0.004909,0.000028,0.000004,0.008828,0.000264,0.000004,0.000168,0.014206
5,0.005375,0.000028,0.000003,0.028798,0.000254,0.000004,0.003539,0.038007
6,0.004626,0.000025,0.000003,0.006719,0.000233,0.000004,0.006643,0.018262
12,0.005157,0.000030,0.000003,0.044828,0.000247,0.000004,0.000650,0.050923
13,0.005750,0.000032,0.000003,0.006839,0.000272,0.000005,0.000752,0.013659
7,0.004696,0.000025,0.000003,0.025740,0.000297,0.000005,0.003945,0.034715
14,0.005392,0.000031,0.000003,0.065056,0.000291,0.000004,0.000180,0.070958
8,0.004669,0.000035,0.000003,0.023533,0.000263,0.000004,0.003647,0.032160
14,0.005171,0.000030,0.000003,0.049978,0.000257,0.000004,0.000577,0.056024
15,0.005675,0.000031,0.000003,0.006076,0.000264,0.000004,0.000642,0.012698
9,0.004259,0.000025,0.000002,0.009560,0.000252,0.000004,0.003728,0.017836
16,0.005559,0.000032,0.000003,0.006004,0.000262,0.000004,0.000651,0.012518
15,0.006788,0.000029,0.000003,0.057229,0.000241,0.000004,0.000169,0.064465
0,1.010892,0.000051,0.000008,0.064669,0.000412,0.000006,0.000711,1.076756
10,0.004198,0.000027,0.000003,0.027993,0.000259,0.000004,0.003768,0.036257
11,0.004412,0.000027,0.000003,0.025191,0.000266,0.000004,0.003600,0.033509
17,0.005214,0.000031,0.000003,0.055822,0.000344,0.000007,0.001030,0.062457
16,0.005645,0.000030,0.000003,0.070002,0.000320,0.000004,0.000189,0.076196
12,0.004219,0.000024,0.000002,0.014162,0.000235,0.000004,0.003620,0.022270
1,0.007107,0.000058,0.000006,0.071590,0.000283,0.000004,0.000480,0.079532
13,0.004113,0.000024,0.000003,0.013270,0.000249,0.000004,0.003499,0.021167
17,0.007108,0.000034,0.000003,0.019405,0.000272,0.000004,0.000168,0.026997
18,0.007465,0.000045,0.000004,0.063047,0.000284,0.000004,0.000598,0.071450
14,0.004137,0.000025,0.000002,0.026911,0.000245,0.000004,0.003649,0.034976
2,0.005551,0.000031,0.000004,0.061814,0.000276,0.000004,0.000470,0.068153
18,0.004632,0.000027,0.000004,0.056601,0.000247,0.000004,0.000185,0.061703
15,0.007784,0.000051,0.000004,0.027446,0.000279,0.000004,0.003539,0.039111
