sample_idx,h5_read,crop_timestamps,pad_timestamps,fill_missing,subset_sample,ndvi,normalize,total
0,0.300207,0.000051,0.000007,0.071588,0.000346,0.000006,0.001723,0.373939
1,0.009026,0.000034,0.000004,0.034745,0.000245,0.000004,0.001174,0.045235
0,0.404858,0.000037,0.000005,0.040540,0.000335,0.000005,0.001222,0.447013
1,0.004662,0.000029,0.000004,0.013864,0.000254,0.000005,0.001377,0.020198
2,0.004782,0.000025,0.000003,0.049270,0.000254,0.000004,0.001441,0.055783
2,0.004966,0.000027,0.000003,0.048110,0.000358,0.000007,0.002052,0.055529
3,0.006334,0.000027,0.000003,0.056367,0.000259,0.000004,0.001452,0.064449
4,0.006463,0.000028,0.000003,0.010275,0.000230,0.000005,0.001445,0.018454
5,0.005007,0.000025,0.000003,0.013064,0.000276,0.000005,0.001461,0.019845
3,0.007380,0.000033,0.000003,0.071522,0.000263,0.000005,0.001282,0.080492
6,0.004786,0.000027,0.000003,0.046836,0.000232,0.000003,0.001503,0.053394
4,0.006789,0.000030,0.000003,0.050517,0.000277,0.000004,0.001475,0.059099
7,0.005571,0.000026,0.000003,0.053480,0.000247,0.000004,0.001298,0.060631
5,0.005978,0.000031,0.000003,0.048563,0.000226,0.000004,0.001162,0.055970
0,0.696371,0.000048,0.000006,0.052519,0.000445,0.000005,0.000332,0.749730
8,0.004309,0.000025,0.000003,0.043312,0.000250,0.000004,0.001201,0.049108
6,0.004027,0.000026,0.000003,0.050192,0.000246,0.000004,0.001158,0.055660
1,0.004872,0.000031,0.000005,0.051832,0.000293,0.000004,0.000173,0.057214
2,0.005499,0.000033,0.000005,0.010342,0.000265,0.000004,0.000156,0.016306
9,0.006447,0.000030,0.000003,0.051089,0.000258,0.000004,0.001485,0.059320
7,0.006534,0.000028,0.000003,0.050728,0.000250,0.000004,0.001357,0.058908
8,0.005521,0.000030,0.000003,0.012735,0.000237,0.000004,0.001471,0.020004
3,0.005303,0.000029,0.000004,0.047882,0.000249,0.000004,0.000163,0.053638
10,0.007154,0.000031,0.000003,0.051663,0.000249,0.000004,0.001443,0.060551
9,0.005300,0.000028,0.000003,0.045169,0.000268,0.000004,0.001501,0.052278
4,0.005423,0.000028,0.000005,0.047084,0.000264,0.000004,0.000155,0.052965
10,0.007503,0.000042,0.000004,0.007575,0.000264,0.000005,0.001735,0.017132
11,0.007586,0.000045,0.000004,0.064330,0.000287,0.000005,0.001560,0.073821
5,0.006511,0.000035,0.000004,0.044321,0.000253,0.000004,0.000145,0.051275
11,0.013299,0.000044,0.000004,0.053270,0.000296,0.000005,0.001308,0.068230
12,0.005458,0.000031,0.000003,0.051333,0.000235,0.000004,0.001412,0.058479
0,0.990023,0.000054,0.000008,0.055158,0.000358,0.000005,0.000317,1.045930
6,0.005006,0.000029,0.000004,0.050742,0.000280,0.000004,0.000165,0.056234
1,0.005161,0.000030,0.000003,0.012051,0.000272,0.000005,0.000183,0.017708
12,0.005404,0.000032,0.000003,0.046753,0.000264,0.000004,0.001482,0.053946
13,0.005379,0.000027,0.000003,0.057825,0.000296,0.000004,0.001850,0.065390
7,0.005207,0.000030,0.000005,0.071108,0.000357,0.000005,0.000191,0.076906
14,0.007505,0.000036,0.000003,0.014217,0.000384,0.000008,0.002213,0.024371
2,0.006496,0.000038,0.000004,0.076946,0.000265,0.000004,0.000170,0.083926
13,0.011800,0.000035,0.000004,0.064557,0.000291,0.000005,0.001387,0.078082
3,0.008157,0.000039,0.000004,0.024611,0.000411,0.000007,0.000249,0.033481
15,0.006304,0.000039,0.000005,0.044820,0.000245,0.000004,0.001474,0.052896
4,0.006605,0.000031,0.000003,0.007380,0.000287,0.000005,0.000202,0.014515
8,0.005765,0.000041,0.000004,0.071635,0.000290,0.000005,0.000160,0.077902
14,0.006632,0.000030,0.000003,0.061662,0.000335,0.000009,0.002425,0.071102
15,0.005404,0.000030,0.000003,0.023768,0.000332,0.000009,0.002057,0.031608
16,0.007109,0.000030,0.000003,0.070123,0.000483,0.000006,0.002129,0.079890
5,0.005701,0.000029,0.000003,0.064514,0.000426,0.000008,0.000290,0.070975
9,0.005614,0.000030,0.000005,0.065872,0.000268,0.000004,0.000150,0.071946
0,1.293185,0.000034,0.000006,0.018342,0.000344,0.000006,0.004243,1.316174
1,0.005542,0.000032,0.000004,0.012301,0.000292,0.000005,0.004269,0.022451
