sample_idx,h5_read,crop_timestamps,pad_timestamps,fill_missing,subset_sample,ndvi,normalize,total,cache_hit
0,0.021877,0.000037,0.000005,0.007411,0.000343,0.000006,0.002146,0.031837,0
0,0.024273,0.000042,0.000007,0.020246,0.000396,0.000005,0.001958,0.046942,0
0,0.021951,0.000039,0.000006,0.013489,0.000344,0.000005,0.000416,0.036258,0
0,0.024067,0.000036,0.000005,0.035164,0.000307,0.000005,0.000386,0.059972,0
0,0.027689,0.000049,0.000006,0.032472,0.000425,0.000009,0.000543,0.061199,0
0,0.024663,0.000052,0.000009,0.032695,0.000510,0.000010,0.004255,0.062212,0
0,0.021458,0.000039,0.000006,0.052088,0.000358,0.000005,0.000827,0.074789,0
0,0.020838,0.000035,0.000007,0.057057,0.000353,0.000005,0.000377,0.078677,0
0,0.022857,0.000035,0.000006,0.050415,0.000360,0.000005,0.009723,0.083418,0
0,0.020501,0.000035,0.000006,0.057202,0.000382,0.000006,0.005583,0.083729,0
0,0.017356,0.000039,0.000007,0.057462,0.000422,0.000005,0.004500,0.079803,0
1,0.009626,0.000040,0.000004,0.018511,0.000356,0.000007,0.003547,0.032097,0
0,0.023818,0.000041,0.000008,0.071445,0.000529,0.000013,0.005082,0.100948,0
1,0.008266,0.000037,0.000004,0.009880,0.000327,0.000005,0.000218,0.018740,0
0,0.025640,0.000058,0.000009,0.073045,0.000498,0.000009,0.003205,0.102472,0
1,0.007335,0.000031,0.000003,0.041171,0.000304,0.000004,0.001824,0.050676,0
1,0.012862,0.000045,0.000004,0.039979,0.000288,0.000004,0.000272,0.053457,0
1,0.006175,0.000033,0.000003,0.045607,0.000255,0.000004,0.000227,0.052308,0
1,0.009904,0.000036,0.000003,0.009897,0.000259,0.000004,0.008712,0.028821,0
1,0.013935,0.000037,0.000003,0.054321,0.000280,0.000005,0.001384,0.069969,0
1,0.009555,0.000033,0.000003,0.018921,0.000265,0.000005,0.003393,0.032179,0
1,0.014549,0.000041,0.000004,0.052570,0.000283,0.000004,0.001773,0.069228,0
0,0.023513,0.000045,0.000009,0.097569,0.000528,0.000009,0.000670,0.122352,0
2,0.008358,0.000027,0.000003,0.006368,0.000253,0.000004,0.000266,0.015280,0
0,0.024307,0.000062,0.000010,0.109749,0.000492,0.000008,0.002333,0.136980,0
2,0.009307,0.000027,0.000003,0.012662,0.000296,0.000004,0.000250,0.022549,0
1,0.007260,0.000033,0.000004,0.053040,0.000276,0.000005,0.000646,0.061268,0
2,0.009819,0.000031,0.000003,0.031811,0.000249,0.000004,0.001666,0.043586,0
1,0.008913,0.000033,0.000004,0.050726,0.000304,0.000006,0.005287,0.065280,0
3,0.007302,0.000035,0.000003,0.009982,0.000266,0.000004,0.000256,0.017851,0
2,0.007283,0.000029,0.000003,0.051084,0.000355,0.000004,0.000236,0.058996,0
1,0.008742,0.000046,0.000005,0.091205,0.000350,0.000007,0.000338,0.100698,0
3,0.007283,0.000036,0.000003,0.036383,0.000258,0.000004,0.000268,0.044237,0
2,0.008517,0.000029,0.000003,0.052395,0.000267,0.000004,0.003113,0.064332,0
2,0.007268,0.000040,0.000003,0.055692,0.000352,0.000004,0.007782,0.071145,0
2,0.010882,0.000033,0.000003,0.057600,0.000273,0.000005,0.001436,0.070235,0
4,0.010371,0.000032,0.000003,0.007556,0.000248,0.000005,0.000259,0.018475,0
2,0.011280,0.000034,0.000003,0.057375,0.000350,0.000004,0.001982,0.071031,0
3,0.008475,0.000032,0.000003,0.033635,0.000245,0.000004,0.001636,0.044033,0
2,0.009404,0.000036,0.000003,0.092234,0.000349,0.000007,0.003885,0.105924,0
4,0.006943,0.000029,0.000003,0.037859,0.000247,0.000004,0.000248,0.045334,0
1,0.009097,0.000038,0.000004,0.073586,0.000282,0.000004,0.000327,0.083341,0
2,0.010765,0.000037,0.000004,0.055718,0.000256,0.000004,0.000637,0.067423,0
1,0.012587,0.000063,0.000006,0.089985,0.000410,0.000008,0.003119,0.106183,0
1,0.014576,0.000039,0.000005,0.087081,0.000739,0.000015,0.005605,0.108068,0
2,0.009847,0.000031,0.000004,0.057199,0.000291,0.000004,0.004694,0.072076,0
3,0.013320,0.000030,0.000003,0.014878,0.000321,0.000005,0.001928,0.030489,0
3,0.010109,0.000039,0.000003,0.052828,0.000258,0.000004,0.000221,0.063464,0
2,0.010761,0.000036,0.000003,0.056672,0.000267,0.000004,0.000291,0.068035,0
1,0.008868,0.000039,0.000005,0.086638,0.000328,0.000007,0.002305,0.098197,0
4,0.007258,0.000025,0.000003,0.032797,0.000236,0.000004,0.001436,0.041763,0
5,0.006705,0.000032,0.000002,0.039818,0.000253,0.000004,0.000249,0.047065,0
3,0.009708,0.000028,0.000004,0.048188,0.000282,0.000005,0.001196,0.059414,0
3,0.009799,0.000032,0.000002,0.045405,0.000296,0.000004,0.007915,0.063459,0
3,0.011389,0.000030,0.000003,0.053379,0.000296,0.000005,0.003362,0.068468,0
