sample_idx,h5_read,crop_timestamps,pad_timestamps,fill_missing,subset_sample,ndvi,normalize,total
0,0.113284,0.000053,0.000006,0.023052,0.000523,0.000006,0.000708,0.137637
1,0.006621,0.000046,0.000006,0.061612,0.000276,0.000005,0.000239,0.068807
2,0.005063,0.000030,0.000003,0.048951,0.000267,0.000004,0.000245,0.054566
3,0.003881,0.000025,0.000003,0.039566,0.000234,0.000004,0.000259,0.043974
4,0.006122,0.000028,0.000003,0.051104,0.000230,0.000004,0.000261,0.057754
5,0.004846,0.000026,0.000002,0.041793,0.000267,0.000004,0.000252,0.047191
6,0.006119,0.000031,0.000003,0.040350,0.000249,0.000004,0.000237,0.046994
0,0.409924,0.000052,0.000005,0.059114,0.000445,0.000005,0.011206,0.480770
1,0.005515,0.000036,0.000004,0.011814,0.000313,0.000005,0.010037,0.027730
7,0.006542,0.000033,0.000003,0.049382,0.000247,0.000004,0.000248,0.056461
2,0.005775,0.000046,0.000003,0.065027,0.000332,0.000004,0.009843,0.081036
8,0.005624,0.000028,0.000003,0.053026,0.000260,0.000005,0.000249,0.059197
3,0.006942,0.000041,0.000003,0.056027,0.000337,0.000005,0.010978,0.074339
9,0.007108,0.000032,0.000003,0.072540,0.000256,0.000004,0.000263,0.080209
0,0.710834,0.000045,0.000007,0.008403,0.000438,0.000008,0.002393,0.722139
10,0.008117,0.000040,0.000004,0.046589,0.000244,0.000004,0.000235,0.055235
4,0.006541,0.000031,0.000004,0.067854,0.000309,0.000004,0.009513,0.084261
1,0.005989,0.000030,0.000004,0.053376,0.000274,0.000005,0.001691,0.061374
11,0.006010,0.000033,0.000003,0.051505,0.000264,0.000004,0.000250,0.058071
2,0.005841,0.000027,0.000004,0.055984,0.000333,0.000005,0.001980,0.064176
5,0.010137,0.000031,0.000003,0.072952,0.000341,0.000004,0.009825,0.093300
12,0.006730,0.000030,0.000003,0.052707,0.000275,0.000004,0.000269,0.060018
3,0.006881,0.000029,0.000003,0.017484,0.000282,0.000005,0.001771,0.026460
13,0.005978,0.000030,0.000003,0.057579,0.000338,0.000008,0.000365,0.064306
4,0.004656,0.000028,0.000003,0.052954,0.000275,0.000005,0.002089,0.060016
6,0.006708,0.000038,0.000004,0.070291,0.000308,0.000005,0.010423,0.087782
7,0.006298,0.000055,0.000004,0.015204,0.000343,0.000005,0.012699,0.034615
14,0.007594,0.000038,0.000004,0.063102,0.000297,0.000004,0.000257,0.071298
5,0.010069,0.000038,0.000005,0.070000,0.000272,0.000005,0.001755,0.082147
8,0.005879,0.000034,0.000004,0.063469,0.000289,0.000004,0.009784,0.079468
15,0.006255,0.000029,0.000003,0.047576,0.000269,0.000003,0.000264,0.054412
0,1.022486,0.000038,0.000005,0.057650,0.000443,0.000007,0.000554,1.081190
6,0.006160,0.000029,0.000003,0.045425,0.000274,0.000004,0.001692,0.053591
7,0.004827,0.000029,0.000003,0.019703,0.000259,0.000005,0.001937,0.026767
16,0.005847,0.000031,0.000003,0.058033,0.000273,0.000004,0.000265,0.064459
9,0.005899,0.000049,0.000003,0.069563,0.000317,0.000004,0.009960,0.085803
8,0.005075,0.000032,0.000003,0.054784,0.000262,0.000004,0.001624,0.061788
1,0.005280,0.000042,0.000007,0.090889,0.000340,0.000008,0.000326,0.096897
9,0.006622,0.000031,0.000003,0.015638,0.000286,0.000004,0.002040,0.024629
17,0.009487,0.000035,0.000004,0.062306,0.000278,0.000004,0.000264,0.072380
2,0.007781,0.000035,0.000006,0.021520,0.000371,0.000008,0.000359,0.030084
3,0.011495,0.000068,0.000014,0.020113,0.000446,0.000011,0.000484,0.032637
10,0.006677,0.000039,0.000004,0.080513,0.000345,0.000005,0.011055,0.098645
10,0.006092,0.000033,0.000003,0.067915,0.000255,0.000004,0.002000,0.076307
18,0.009381,0.000064,0.000005,0.073550,0.000285,0.000004,0.000364,0.083657
11,0.006272,0.000033,0.000004,0.013541,0.000259,0.000005,0.001794,0.021913
4,0.008364,0.000037,0.000007,0.062355,0.000272,0.000005,0.000262,0.071305
19,0.008277,0.000039,0.000004,0.015545,0.000284,0.000005,0.000260,0.024415
11,0.009536,0.000057,0.000007,0.077767,0.000339,0.000004,0.010167,0.097884
12,0.005288,0.000032,0.000003,0.055403,0.000273,0.000004,0.001744,0.062751
0,1.322926,0.000055,0.000010,0.056940,0.000347,0.000005,0.003412,1.383708
5,0.006507,0.000030,0.000005,0.056196,0.000291,0.000005,0.000267,0.063302
20,0.004928,0.000032,0.000003,0.057745,0.000278,0.000004,0.000320,0.063313
13,0.007814,0.000041,0.000004,0.027528,0.000302,0.000005,0.002112,0.037811
21,0.006285,0.000032,0.000003,0.027423,0.000353,0.000007,0.000413,0.034521
12,0.008429,0.000049,0.000005,0.065213,0.000295,0.000004,0.010505,0.084506
6,0.004737,0.000030,0.000006,0.055025,0.000279,0.000005,0.000284,0.060368
1,0.006433,0.000034,0.000004,0.061280,0.000291,0.000005,0.003189,0.071241
13,0.006021,0.000038,0.000004,0.014068,0.000346,0.000005,0.009664,0.030152
22,0.004702,0.000029,0.000003,0.060515,0.000240,0.000004,0.000261,0.065757
14,0.006582,0.000033,0.000004,0.065884,0.000321,0.000005,0.001953,0.074786
2,0.005724,0.000031,0.000003,0.060847,0.000348,0.000004,0.003396,0.070359
7,0.007608,0.000033,0.000006,0.069189,0.000319,0.000005,0.000292,0.077455
15,0.009942,0.000037,0.000004,0.026448,0.000460,0.000006,0.003241,0.040142
8,0.013631,0.000040,0.000006,0.013664,0.000295,0.000005,0.000299,0.027942
23,0.007702,0.000034,0.000004,0.069718,0.000269,0.000004,0.000278,0.078012
14,0.005973,0.000035,0.000003,0.085376,0.000460,0.000009,0.010497,0.102360
3,0.006473,0.000042,0.000003,0.062806,0.000307,0.000005,0.002953,0.072595
16,0.007039,0.000032,0.000003,0.057355,0.000259,0.000005,0.001763,0.066461
0,1.613586,0.000070,0.000008,0.020490,0.000481,0.000006,0.000498,1.635146
9,0.011091,0.000036,0.000007,0.059843,0.000255,0.000004,0.000266,0.071504
24,0.006412,0.000040,0.000005,0.062819,0.000275,0.000004,0.000269,0.069827
17,0.006750,0.000031,0.000003,0.024903,0.000292,0.000005,0.001974,0.033963
15,0.006241,0.000040,0.000004,0.060627,0.000303,0.000004,0.009768,0.076993
4,0.010078,0.000048,0.000004,0.046978,0.000271,0.000005,0.002970,0.060360
10,0.005485,0.000038,0.000008,0.061953,0.000285,0.000004,0.000285,0.068061
1,0.005922,0.000037,0.000004,0.071269,0.000353,0.000007,0.000348,0.077944
25,0.007057,0.000033,0.000003,0.063294,0.000281,0.000004,0.000278,0.070953
18,0.006011,0.000028,0.000004,0.059279,0.000244,0.000004,0.001765,0.067338
2,0.005660,0.000032,0.000004,0.011364,0.000295,0.000005,0.000278,0.017640
5,0.006368,0.000037,0.000004,0.059072,0.000283,0.000004,0.002979,0.068754
16,0.005834,0.000031,0.000004,0.072402,0.000292,0.000004,0.009536,0.088108
19,0.006886,0.000031,0.000004,0.017609,0.000303,0.000004,0.001966,0.026808
11,0.006201,0.000034,0.000006,0.058998,0.000313,0.000005,0.000291,0.065851
20,0.006712,0.000042,0.000005,0.012264,0.000293,0.000005,0.002161,0.021486
17,0.006814,0.000039,0.000004,0.013579,0.000295,0.000004,0.010514,0.031255
6,0.004751,0.000027,0.000003,0.051185,0.000285,0.000004,0.004474,0.060738
26,0.005007,0.000030,0.000003,0.075850,0.000371,0.000005,0.000349,0.081617
21,0.006837,0.000041,0.000004,0.025848,0.000471,0.000007,0.003811,0.037025
3,0.006272,0.000042,0.000003,0.079717,0.000348,0.000006,0.000336,0.086726
18,0.005292,0.000030,0.000003,0.017870,0.000304,0.000004,0.009786,0.033295
4,0.008071,0.000035,0.000004,0.014682,0.000341,0.000006,0.000379,0.023521
12,0.006151,0.000039,0.000007,0.097401,0.000492,0.000012,0.000699,0.104808
27,0.013776,0.000031,0.000003,0.083403,0.000280,0.000004,0.000318,0.097818
22,0.006937,0.000039,0.000004,0.082464,0.000389,0.000009,0.002692,0.092541
7,0.012294,0.000047,0.000004,0.113424,0.000334,0.000009,0.006866,0.132987
23,0.008396,0.000042,0.000004,0.009904,0.000243,0.000004,0.001720,0.020318
5,0.026176,0.000039,0.000004,0.067875,0.000271,0.000005,0.000307,0.094678
19,0.008548,0.000054,0.000005,0.110104,0.000321,0.000004,0.008734,0.127775
13,0.011507,0.000047,0.000009,0.078020,0.000312,0.000006,0.000320,0.090222
28,0.012748,0.000035,0.000003,0.059231,0.000432,0.000007,0.000524,0.072983
0,1.955958,0.000067,0.000011,0.028013,0.000463,0.000005,0.003015,1.987549
24,0.004756,0.000028,0.000003,0.059870,0.000330,0.000004,0.001847,0.066846
1,0.006194,0.000048,0.000006,0.024554,0.000336,0.000005,0.003014,0.034163
6,0.005960,0.000029,0.000003,0.063524,0.000291,0.000005,0.000296,0.070111
20,0.009141,0.000034,0.000003,0.067550,0.000317,0.000004,0.010165,0.087220
8,0.007293,0.000042,0.000004,0.099350,0.000364,0.000008,0.004600,0.111670
14,0.007128,0.000029,0.000006,0.082430,0.000453,0.000011,0.000456,0.090520
25,0.008023,0.000034,0.000004,0.069392,0.000297,0.000005,0.002016,0.079776
29,0.011783,0.000106,0.000004,0.097040,0.000271,0.000004,0.000282,0.109493
7,0.006400,0.000034,0.000003,0.083237,0.000372,0.000006,0.000404,0.090458
26,0.006259,0.000031,0.000003,0.022981,0.000304,0.000004,0.002239,0.031828
2,0.007766,0.000047,0.000009,0.092191,0.000405,0.000005,0.004011,0.104439
21,0.005365,0.000034,0.000004,0.073363,0.000329,0.000007,0.010940,0.090050
15,0.010292,0.000037,0.000007,0.090193,0.000541,0.000014,0.000747,0.101836
27,0.008439,0.000037,0.000004,0.038030,0.000622,0.000014,0.004992,0.052146
22,0.011531,0.000047,0.000004,0.021325,0.000424,0.000007,0.011069,0.044412
9,0.008886,0.000054,0.000008,0.121798,0.000448,0.000010,0.004719,0.135931
30,0.008623,0.000039,0.000004,0.096759,0.000495,0.000009,0.000459,0.106397
16,0.008739,0.000042,0.000009,0.021915,0.000284,0.000004,0.000265,0.031260
8,0.010094,0.000041,0.000005,0.085952,0.000306,0.000006,0.000333,0.096741
