sample_idx,h5_read,crop_timestamps,pad_timestamps,fill_missing,subset_sample,ndvi,normalize,total
0,4.420416,0.000032,0.000005,0.032532,0.000324,0.000005,0.000293,4.453610
0,4.329533,0.000033,0.000005,0.034085,0.000318,0.000005,0.000617,4.364605
0,3.808425,0.000034,0.000005,0.042421,0.000299,0.000005,0.001173,3.852371
0,5.908157,0.000040,0.000007,0.021499,0.000412,0.000007,0.005522,5.935656
0,3.893626,0.000042,0.000005,0.046631,0.000307,0.000006,0.001417,3.942039
0,4.007050,0.000031,0.000005,0.035504,0.000314,0.000004,0.010113,4.053035
0,4.534022,0.000046,0.000004,0.029612,0.000391,0.000005,0.000349,4.564436
0,5.842528,0.000033,0.000005,0.032514,0.000365,0.000006,0.000331,5.875786
0,4.693150,0.000040,0.000006,0.029857,0.000335,0.000005,0.005315,4.728723
0,5.354638,0.000032,0.000005,0.006607,0.000329,0.000005,0.001758,5.363386
0,3.975762,0.000046,0.000007,0.014240,0.000326,0.000005,0.003353,3.993747
1,0.009705,0.000040,0.000004,0.011188,0.000305,0.000004,0.000182,0.021431
1,0.012727,0.000077,0.000009,0.025179,0.000514,0.000007,0.001136,0.039657
1,0.011344,0.000056,0.000005,0.025562,0.000418,0.000005,0.006073,0.043473
2,0.007852,0.000052,0.000005,0.009408,0.000422,0.000008,0.000944,0.018697
1,0.011708,0.000076,0.000008,0.045399,0.000488,0.000011,0.000346,0.058041
1,0.008140,0.000052,0.000006,0.052062,0.000886,0.000021,0.003048,0.064223
1,0.012625,0.000089,0.000012,0.034877,0.000444,0.000009,0.017315,0.065382
1,0.008592,0.000045,0.000005,0.049213,0.000343,0.000005,0.005466,0.063676
2,0.004175,0.000028,0.000003,0.041152,0.000263,0.000004,0.000148,0.045776
3,0.006226,0.000033,0.000003,0.015040,0.000279,0.000004,0.000186,0.021773
2,0.008690,0.000050,0.000006,0.040231,0.000397,0.000006,0.005501,0.054889
1,0.007021,0.000055,0.000005,0.096558,0.000456,0.000004,0.002020,0.106125
4,0.004678,0.000032,0.000003,0.005238,0.000265,0.000004,0.000178,0.010400
2,0.010493,0.000056,0.000007,0.037588,0.000438,0.000009,0.000324,0.048919
1,0.013145,0.000144,0.000012,0.105374,0.000344,0.000006,0.009588,0.128621
2,0.011236,0.000032,0.000003,0.041828,0.000306,0.000004,0.005223,0.058637
3,0.006020,0.000038,0.000004,0.017045,0.000340,0.000005,0.004992,0.028454
5,0.005031,0.000034,0.000003,0.043764,0.000309,0.000004,0.000179,0.049326
1,0.012382,0.000056,0.000007,0.149109,0.000497,0.000010,0.003501,0.165570
0,6.024875,0.000061,0.000007,0.098278,0.000468,0.000006,0.001285,6.124991
1,0.011164,0.000058,0.000007,0.169082,0.001629,0.000033,0.000780,0.182772
3,0.004665,0.000036,0.000003,0.044745,0.000255,0.000004,0.005339,0.055051
6,0.006187,0.000032,0.000003,0.044759,0.000308,0.000004,0.000172,0.051467
3,0.008339,0.000048,0.000005,0.144955,0.000676,0.000021,0.001384,0.155436
2,0.009982,0.000063,0.000008,0.021900,0.000571,0.000012,0.000364,0.032905
2,0.012971,0.000094,0.000012,0.152999,0.000498,0.000008,0.002384,0.168973
4,0.006088,0.000026,0.000003,0.037287,0.000239,0.000004,0.004839,0.048491
2,0.006601,0.000038,0.000006,0.094154,0.000339,0.000005,0.008402,0.109551
2,0.007245,0.000040,0.000003,0.122732,0.000457,0.000005,0.002044,0.132532
2,0.008971,0.000045,0.000006,0.152486,0.000430,0.000010,0.018254,0.180213
4,0.007519,0.000040,0.000006,0.106593,0.000391,0.000007,0.005958,0.120522
7,0.006483,0.000036,0.000002,0.046037,0.000306,0.000004,0.000175,0.053045
3,0.008474,0.000051,0.000004,0.154920,0.000439,0.000007,0.000351,0.164251
5,0.004145,0.000026,0.000003,0.034336,0.000252,0.000004,0.004869,0.043639
1,0.007629,0.000042,0.000004,0.103831,0.000386,0.000007,0.001058,0.112962
3,0.008813,0.000041,0.000006,0.048296,0.000434,0.000007,0.009139,0.066744
8,0.006544,0.000027,0.000003,0.049703,0.000280,0.000004,0.000237,0.056800
6,0.003978,0.000026,0.000003,0.043167,0.000240,0.000004,0.004651,0.052074
2,0.011210,0.000046,0.000006,0.164994,0.000440,0.000010,0.004688,0.181407
3,0.009547,0.000040,0.000004,0.109849,0.000373,0.000005,0.002122,0.121946
9,0.005471,0.000030,0.000002,0.040141,0.000277,0.000004,0.000180,0.046106
3,0.016436,0.000103,0.000016,0.145235,0.000472,0.000009,0.000274,0.162550
4,0.008951,0.000059,0.000005,0.154214,0.000526,0.000014,0.001219,0.164993
2,0.006454,0.000038,0.000004,0.085922,0.000317,0.000004,0.000943,0.093687
5,0.007558,0.000054,0.000004,0.112416,0.000378,0.000005,0.006264,0.126688
7,0.004642,0.000034,0.000003,0.043203,0.000285,0.000004,0.005474,0.053649
4,0.009582,0.000051,0.000004,0.016136,0.000336,0.000004,0.002055,0.028173
10,0.005057,0.000029,0.000003,0.014359,0.000315,0.000005,0.000202,0.019971
8,0.005913,0.000027,0.000003,0.007445,0.000250,0.000004,0.005716,0.019364
3,0.009172,0.000049,0.000007,0.167434,0.000497,0.000008,0.002600,0.179776
3,0.008966,0.000037,0.000004,0.029062,0.000342,0.000005,0.001063,0.039486
4,0.009510,0.000038,0.000006,0.102018,0.000369,0.000005,0.009096,0.121052
3,0.008661,0.000049,0.000004,0.158407,0.000528,0.000009,0.021480,0.189149
5,0.007589,0.000068,0.000005,0.032451,0.000405,0.000005,0.002166,0.042696
4,0.006331,0.000037,0.000005,0.007720,0.000332,0.000004,0.001089,0.015526
4,0.008540,0.000051,0.000006,0.175132,0.000484,0.000010,0.000331,0.184558
11,0.012096,0.000074,0.000007,0.048807,0.000255,0.000004,0.000184,0.061430
9,0.004492,0.000027,0.000003,0.051938,0.000287,0.000004,0.005713,0.062469
10,0.004403,0.000026,0.000003,0.003311,0.000250,0.000004,0.005058,0.013058
6,0.006768,0.000033,0.000005,0.100551,0.000402,0.000005,0.005866,0.113641
12,0.004722,0.000029,0.000002,0.042238,0.000232,0.000004,0.000178,0.047407
4,0.009575,0.000089,0.000011,0.142514,0.000448,0.000007,0.000285,0.152933
13,0.005238,0.000033,0.000002,0.013895,0.000266,0.000003,0.000183,0.019624
11,0.005501,0.000032,0.000003,0.039919,0.000277,0.000004,0.005458,0.051200
3,0.009017,0.000048,0.000006,0.178593,0.000438,0.000009,0.004438,0.192558
5,0.009423,0.000046,0.000006,0.155502,0.000579,0.000014,0.001183,0.166760
6,0.007480,0.000041,0.000003,0.109173,0.000358,0.000005,0.002294,0.119362
