sample_idx,h5_read,crop_timestamps,pad_timestamps,fill_missing,subset_sample,ndvi,normalize,total
0,1.271289,0.000062,0.000008,0.018599,0.000492,0.000009,0.002402,1.292869
0,1.379257,0.000084,0.000007,0.090832,0.001370,0.000012,0.001264,1.472840
0,1.190577,0.000044,0.000005,0.272653,0.001079,0.000011,0.001807,1.466182
0,1.296653,0.000042,0.000005,0.258524,0.000627,0.000012,0.002662,1.558530
0,1.452329,0.000166,0.000019,0.051205,0.049518,0.000017,0.005731,1.559000
0,1.352828,0.000111,0.000016,0.150692,0.000492,0.000007,0.065224,1.569380
1,0.049317,0.000066,0.000005,0.216501,0.000636,0.000008,0.002486,0.269031
0,1.502027,0.000047,0.000005,0.100281,0.000529,0.000010,0.049836,1.652747
0,1.457031,0.000048,0.000006,0.147592,0.000291,0.000005,0.056393,1.661377
1,0.008426,0.000058,0.000005,0.088561,0.000452,0.000008,0.004562,0.102081
1,0.008920,0.000062,0.000006,0.195667,0.000500,0.000009,0.000484,0.205656
1,0.014593,0.000067,0.000010,0.072439,0.000504,0.000007,0.021634,0.109276
0,1.684219,0.000059,0.000013,0.023443,0.000275,0.000005,0.001628,1.709645
0,1.485819,0.000072,0.000007,0.271459,0.000672,0.000011,0.000626,1.758672
1,0.009029,0.000060,0.000005,0.278361,0.000514,0.000009,0.001564,0.289552
2,0.057839,0.000066,0.000007,0.019046,0.000443,0.000009,0.000493,0.077908
1,0.007668,0.000051,0.000005,0.210888,0.000502,0.000011,0.002943,0.222074
1,0.010086,0.000059,0.000008,0.020306,0.000393,0.000006,0.000375,0.031240
1,0.008847,0.000052,0.000005,0.284156,0.000777,0.000015,0.000768,0.294628
2,0.020569,0.000059,0.000005,0.301536,0.000721,0.000012,0.003447,0.326358
2,0.004646,0.040672,0.000013,0.227321,0.000563,0.000013,0.006878,0.280117
0,1.691395,0.000062,0.000009,0.288338,0.000478,0.000009,0.005156,1.985461
1,0.063399,0.000103,0.000013,0.239178,0.000502,0.000011,0.005195,0.308408
2,0.011128,0.000047,0.000004,0.262300,0.000382,0.000008,0.001004,0.274877
3,0.061384,0.000049,0.000005,0.205111,0.000516,0.000008,0.000493,0.267571
1,0.014014,0.000088,0.000005,0.283135,0.000508,0.000011,0.005342,0.303135
2,0.053052,0.000047,0.000006,0.296154,0.000631,0.000013,0.022057,0.371974
2,0.009504,0.000057,0.000006,0.221544,0.000607,0.000012,0.000464,0.232200
0,1.794590,0.000066,0.000011,0.281999,0.000684,0.000009,0.009786,2.087157
4,0.014310,0.000065,0.000005,0.020869,0.000407,0.000008,0.044829,0.080505
0,1.996823,0.000070,0.000008,0.153626,0.000812,0.000014,0.005238,2.156599
2,0.012617,0.000049,0.000006,0.290948,0.000531,0.000010,0.003360,0.307531
0,1.869640,0.000055,0.000007,0.304302,0.000642,0.000014,0.001130,2.175802
0,1.884303,0.000067,0.000011,0.308083,0.000675,0.000014,0.000962,2.194126
3,0.010074,0.000049,0.000006,0.017975,0.000435,0.000009,0.002939,0.031498
3,0.009535,0.000061,0.000004,0.182551,0.000548,0.000011,0.001515,0.194232
1,0.007809,0.000044,0.000004,0.092483,0.000930,0.000017,0.011923,0.113224
0,1.890224,0.000085,0.000011,0.358560,0.001406,0.000026,0.015483,2.265808
4,0.053364,0.000105,0.000010,0.014921,0.000776,0.000027,0.007317,0.076536
2,0.009541,0.000048,0.000005,0.305563,0.000516,0.000011,0.000564,0.316256
4,0.008008,0.000057,0.000005,0.018401,0.000489,0.000010,0.001292,0.028266
2,0.006905,0.000026,0.000003,0.286666,0.000568,0.000014,0.055418,0.349609
5,0.008667,0.000061,0.000004,0.191172,0.001318,0.000012,0.000509,0.201747
3,0.068069,0.000070,0.000008,0.293620,0.000951,0.000022,0.004250,0.367002
3,0.009898,0.000071,0.000011,0.210915,0.000392,0.000005,0.059412,0.280717
1,0.063087,0.000053,0.000010,0.303870,0.000487,0.000012,0.004537,0.372068
3,0.006960,0.000026,0.000003,0.358958,0.000565,0.000012,0.008452,0.374989
2,0.012365,0.000057,0.000005,0.306946,0.000540,0.000013,0.003986,0.323925
3,0.006005,0.000030,0.000004,0.289639,0.000475,0.000012,0.000457,0.296630
1,0.010689,0.000066,0.000014,0.289531,0.000640,0.000014,0.000868,0.301832
1,0.010148,0.000061,0.000007,0.320211,0.000617,0.000014,0.005181,0.336255
4,0.016738,0.000070,0.000007,0.106945,0.000355,0.000006,0.003109,0.127235
1,0.052811,0.000055,0.000007,0.296608,0.000475,0.000012,0.000463,0.350438
5,0.053571,0.000095,0.000011,0.202982,0.000456,0.000008,0.001007,0.258134
3,0.056661,0.000043,0.000005,0.093087,0.001074,0.000027,0.005241,0.156148
3,0.053695,0.000107,0.000011,0.226223,0.000464,0.000010,0.000599,0.281116
2,0.013325,0.000055,0.000005,0.288938,0.000478,0.000009,0.006816,0.309638
1,0.010632,0.000066,0.000006,0.299555,0.000569,0.000016,0.011652,0.322504
6,0.011601,0.000061,0.000004,0.222180,0.000510,0.000012,0.000575,0.234950
2,0.012787,0.000062,0.000006,0.080605,0.000864,0.000020,0.001051,0.095406
5,0.009768,0.000053,0.000004,0.355376,0.000962,0.000023,0.006986,0.373181
4,0.011822,0.000052,0.000006,0.284079,0.000405,0.000007,0.002051,0.298431
3,0.014248,0.000082,0.000007,0.032239,0.000450,0.000009,0.000530,0.047570
2,0.012734,0.000073,0.000012,0.310068,0.000967,0.000025,0.010107,0.333999
6,0.016196,0.000061,0.000005,0.129776,0.000320,0.000005,0.000741,0.147106
2,0.056429,0.000080,0.000011,0.169087,0.000367,0.000006,0.000482,0.226465
4,0.010008,0.000052,0.000006,0.249086,0.000348,0.000004,0.000274,0.259782
4,0.014296,0.000058,0.000022,0.327616,0.000574,0.000010,0.047357,0.389943
4,0.013210,0.000086,0.000009,0.171974,0.000360,0.000005,0.000348,0.185998
7,0.015464,0.000043,0.000004,0.106287,0.000322,0.000006,0.000378,0.122507
5,0.008437,0.000032,0.000004,0.106070,0.000353,0.000005,0.001733,0.116640
2,0.018473,0.000084,0.000014,0.207594,0.000461,0.000009,0.004052,0.230700
5,0.009141,0.000055,0.000007,0.036277,0.000396,0.000005,0.000289,0.046173
3,0.014134,0.000057,0.000005,0.424384,0.000455,0.000010,0.005505,0.444558
4,0.009542,0.000054,0.000005,0.239333,0.000423,0.000010,0.004510,0.253890
7,0.007666,0.000030,0.000003,0.095114,0.000375,0.000005,0.000746,0.103944
6,0.012104,0.000049,0.000005,0.146477,0.000415,0.000008,0.003073,0.162143
3,0.012352,0.000059,0.000005,0.234868,0.000340,0.000005,0.007404,0.255042
5,0.010472,0.000045,0.000005,0.296202,0.000423,0.000010,0.005180,0.312352
8,0.009843,0.000041,0.000004,0.080881,0.000349,0.000005,0.000325,0.091450
3,0.035307,0.000045,0.000007,0.108844,0.000441,0.000014,0.000795,0.145459
7,0.009260,0.000050,0.000004,0.031756,0.000430,0.000009,0.003106,0.044624
