sample_idx,h5_read,crop_timestamps,pad_timestamps,fill_missing,subset_sample,ndvi,normalize,total
0,0.734458,0.000074,0.000012,0.134124,0.000410,0.000005,0.017677,0.886783
0,0.854909,0.000060,0.000008,0.037668,0.000780,0.000017,0.035830,0.929320
0,0.888169,0.000112,0.000014,0.014258,0.000376,0.000005,0.033476,0.936445
0,0.897062,0.000071,0.000009,0.041114,0.000575,0.000008,0.002288,0.941149
0,0.870842,0.000062,0.000007,0.070928,0.000517,0.000007,0.004906,0.947278
0,0.729546,0.000137,0.000020,0.217817,0.001006,0.000029,0.001988,0.950554
0,0.834088,0.000068,0.000012,0.114330,0.000536,0.000007,0.000607,0.949662
0,0.875845,0.000076,0.000016,0.082227,0.000759,0.000013,0.000951,0.959900
1,0.031255,0.000072,0.000006,0.013008,0.000348,0.000005,0.010853,0.055557
0,0.767877,0.000071,0.000007,0.191684,0.000541,0.000037,0.008935,0.969171
0,0.890414,0.000059,0.000009,0.084779,0.000508,0.000008,0.000499,0.976282
0,0.860640,0.000073,0.000008,0.117156,0.000524,0.000008,0.004024,0.982460
1,0.007177,0.000048,0.000004,0.036800,0.000385,0.000006,0.003992,0.048421
0,0.868302,0.000061,0.000009,0.133512,0.000505,0.000007,0.000515,1.002920
0,0.869670,0.000060,0.000007,0.147361,0.000544,0.000007,0.002224,1.019895
0,0.852462,0.000064,0.000008,0.171601,0.000481,0.000007,0.001292,1.025930
1,0.010056,0.000054,0.000005,0.035091,0.000381,0.000007,0.009050,0.054653
0,0.869103,0.000062,0.000010,0.140209,0.000629,0.000009,0.017607,1.027663
1,0.006697,0.000041,0.000004,0.071089,0.000340,0.000006,0.000362,0.078542
1,0.007923,0.000051,0.000006,0.023646,0.000413,0.000006,0.000359,0.032408
2,0.006293,0.000046,0.000004,0.061808,0.000311,0.000005,0.009729,0.078205
1,0.007733,0.000058,0.000007,0.101065,0.000421,0.000006,0.001742,0.111039
0,0.872640,0.000100,0.000014,0.178571,0.000633,0.000011,0.006225,1.058214
1,0.011682,0.000074,0.000007,0.127300,0.000621,0.000012,0.004039,0.143746
1,0.007465,0.000059,0.000005,0.118384,0.000428,0.000007,0.000327,0.126678
2,0.006714,0.000040,0.000004,0.061910,0.000364,0.000004,0.000367,0.069406
3,0.005893,0.000048,0.000005,0.047321,0.000354,0.000004,0.009790,0.063423
1,0.007080,0.000047,0.000005,0.123302,0.000438,0.000005,0.003831,0.134720
1,0.013865,0.000064,0.000006,0.145150,0.000539,0.000016,0.000806,0.160456
1,0.005024,0.000041,0.000004,0.093083,0.000349,0.000006,0.006261,0.104776
2,0.006943,0.000040,0.000004,0.088148,0.000286,0.000004,0.003529,0.098960
1,0.007990,0.000080,0.000013,0.168025,0.000521,0.000010,0.000490,0.177136
2,0.007223,0.000043,0.000004,0.119237,0.000390,0.000005,0.004393,0.131302
1,0.020542,0.000061,0.000006,0.170848,0.000532,0.000009,0.005039,0.197052
2,0.007962,0.000046,0.000004,0.100977,0.000415,0.000005,0.000297,0.109708
1,0.010168,0.000088,0.000007,0.102794,0.000392,0.000005,0.008414,0.121878
2,0.007299,0.000037,0.000005,0.018523,0.000463,0.000011,0.000530,0.026875
3,0.006358,0.000034,0.000003,0.062927,0.000308,0.000005,0.000376,0.070013
2,0.008524,0.000042,0.000004,0.109690,0.000344,0.000005,0.001653,0.120269
2,0.010784,0.000048,0.000007,0.094618,0.000385,0.000008,0.002790,0.108645
4,0.006302,0.000035,0.000004,0.062393,0.000330,0.000004,0.009612,0.078687
1,0.009241,0.000064,0.000005,0.164080,0.000557,0.000009,0.001262,0.175228
3,0.007904,0.000038,0.000004,0.063361,0.000311,0.000005,0.003847,0.075476
2,0.012110,0.000057,0.000006,0.058110,0.000496,0.000009,0.000586,0.071379
2,0.007783,0.000052,0.000006,0.111266,0.000413,0.000006,0.000320,0.119849
2,0.008066,0.000039,0.000004,0.101873,0.000382,0.000005,0.003827,0.114203
1,0.011047,0.000051,0.000005,0.168679,0.000631,0.000013,0.007742,0.188183
3,0.011321,0.000045,0.000004,0.106792,0.000425,0.000006,0.004527,0.123131
4,0.006876,0.000039,0.000004,0.073008,0.000454,0.000004,0.000410,0.080798
3,0.007675,0.000045,0.000004,0.101541,0.000350,0.000005,0.000330,0.109952
3,0.019289,0.000060,0.000007,0.032249,0.000502,0.000011,0.000519,0.052641
3,0.006996,0.000041,0.000003,0.065926,0.000285,0.000005,0.002169,0.075430
2,0.013152,0.000059,0.000006,0.122615,0.000353,0.000004,0.002320,0.138515
2,0.006260,0.000065,0.000004,0.103193,0.000350,0.000005,0.007204,0.117089
4,0.006514,0.000034,0.000004,0.066515,0.000312,0.000004,0.003816,0.077205
3,0.008866,0.000040,0.000004,0.093497,0.000311,0.000005,0.001738,0.104467
